-- Parsed 24h/mouse_MA_scores_0.1_corrected_ensp_induced_ens59.tsv: |V| = 10745 (116 positive), |E| = 231948, # components = 1
-- Parsed 24h/human_MA_scores_0.1_corrected_ensp_induced_ens59.tsv: |V| = 13960 (105 positive), |E| = 251996, # components = 1
-- Parsed temp_data/ensembl_cog_ALL_ens59.tsv: |V_1| = 9216, |V_2| = 9172, |E| = 16308
-- Solver configuration:
-- alpha           = 0.9
-- omega           = 0 (Sum mapped nodes)
-- size            = -1
-- time limit      = 12000
-- root time limit = 4000
-- # threads       = 1
-- # components in link graph: 9045
-- Solution:
-- Alpha       = 0.9
-- Total Score = 33.3459 (45.4589, -12.1131)
#0 graph nodes:
ENSMUSP00000029273	17.7634
ENSMUSP00000031171	14.9845	*
ENSMUSP00000032146	12.7485	*
ENSMUSP00000025601	12.6755	*
ENSMUSP00000027061	12.1065	*
ENSMUSP00000110999	11.9612
ENSMUSP00000055110	9.15391	*
ENSMUSP00000071836	7.08248	*
ENSMUSP00000030991	6.94362	*
ENSMUSP00000022592	5.77335	*
ENSMUSP00000001008	4.90003	*
ENSMUSP00000000834	4.39075
ENSMUSP00000059927	4.1452
ENSMUSP00000068971	4.13207	*
ENSMUSP00000072840	4.12816	*
ENSMUSP00000036206	3.48013	*
ENSMUSP00000019074	3.41715	*
ENSMUSP00000046486	3.29947	*
ENSMUSP00000113851	2.96786	*
ENSMUSP00000022791	2.79201	*
ENSMUSP00000054270	2.79045	*
ENSMUSP00000113370	2.50223	*
ENSMUSP00000040694	2.37671	*
ENSMUSP00000095386	2.02059	*
ENSMUSP00000022019	1.50349	*
ENSMUSP00000040706	1.22262	*
ENSMUSP00000027277	0.736576	*
ENSMUSP00000099928	0.632949	*
ENSMUSP00000114074	-0.189099	*
ENSMUSP00000112337	-0.357934	*
ENSMUSP00000025439	-1.41184	*
ENSMUSP00000037377	-1.59237	*
ENSMUSP00000001125	-1.65898	*
ENSMUSP00000003274	-2.61099	*
ENSMUSP00000033898	-2.72261	*
ENSMUSP00000017975	-3.15908	*
ENSMUSP00000000590	-3.31037	*
ENSMUSP00000028727	-3.48117	*
ENSMUSP00000112871	-3.76765	*
ENSMUSP00000103185	-3.77047	*
ENSMUSP00000074293	-4.00018	*
ENSMUSP00000029881	-4.16231
ENSMUSP00000054343	-4.38016	*
ENSMUSP00000087119	-4.4239	*
ENSMUSP00000122681	-4.47185	*
ENSMUSP00000010536	-4.4969	*
ENSMUSP00000021413	-4.55341	*
ENSMUSP00000045925	-4.6004	*
ENSMUSP00000035177	-4.63171	*
ENSMUSP00000005234	-4.68408	*
ENSMUSP00000026292	-4.7826	*
ENSMUSP00000034903	-4.84479	*
ENSMUSP00000042229	-4.89338	*
ENSMUSP00000010605	-4.90533	*
ENSMUSP00000084589	-5.00936	*
ENSMUSP00000001452	-5.02276	*
ENSMUSP00000044903	-5.08049	*
ENSMUSP00000098488	-5.08709	*
ENSMUSP00000029699	-5.10922	*
#1 graph nodes:
ENSP00000253719	17.7634
ENSP00000295550	14.9845
ENSP00000393154	12.7485	*
ENSP00000221847	12.6755	*
ENSP00000342830	12.1065	*
ENSP00000341189	6.77033
ENSP00000227507	5.77335
ENSP00000341071	5.74676	*
ENSP00000262854	4.90003	*
ENSP00000356832	4.21438	*
ENSP00000264122	4.1964
ENSP00000323377	3.48013
ENSP00000216797	3.45866	*
ENSP00000260356	3.41715	*
ENSP00000264893	3.37567	*
ENSP00000263233	3.08731	*
ENSP00000357656	2.93458
ENSP00000262345	2.88084	*
ENSP00000251496	2.79201	*
ENSP00000360266	2.05148	*
ENSP00000268171	2.02059	*
ENSP00000359998	1.88075	*
ENSP00000372295	1.11207	*
ENSP00000357283	0.878353	*
ENSP00000274520	-1.03886	*
ENSP00000345206	-1.59586	*
ENSP00000351255	-1.65898	*
ENSP00000286639	-1.69839	*
ENSP00000261839	-1.88277	*
ENSP00000356671	-2.24541	*
ENSP00000350078	-2.28911	*
ENSP00000382881	-2.98422	*
ENSP00000273047	-2.98775	*
ENSP00000324628	-3.03498	*
ENSP00000281623	-3.24676	*
ENSP00000321203	-3.4819	*
ENSP00000364979	-3.89505	*
ENSP00000164227	-3.89969	*
ENSP00000381549	-3.95184	*
ENSP00000225245	-4.29091	*
ENSP00000297991	-4.31432	*
ENSP00000254976	-4.41487	*
ENSP00000380921	-4.48152	*
ENSP00000265404	-4.50482	*
ENSP00000308208	-4.53281	*
ENSP00000259335	-4.53646	*
ENSP00000321070	-4.55156	*
ENSP00000364801	-4.82797	*
ENSP00000346240	-4.95859	*
ENSP00000370912	-5.01775	*
ENSP00000264995	-5.04433	*
ENSP00000239849	-5.05174	*
ENSP00000262477	-5.05194	*
ENSP00000295025	-5.062	*
ENSP00000250151	-5.06988	*
ENSP00000263845	-5.13577	*
ENSP00000228495	-5.13831	*
ENSP00000344192	-5.32847	*
ENSP00000225724	-5.32882	*
ENSP00000357244	-5.41378	*
ENSP00000217402	-5.41415	*
