intEpsilon: 1e-05
cutEpsilon: 1e-05
Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 76288.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 1.17 sec. (404.49 ticks)
Lazy DEBUG Label, root: ENSMUSP00000099793   y value: 1
Lazy DEBUG Label, root: ENSP00000329040   y value: 1

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0     1326.5569    13                   1340.5844      452         
*     0+    0                         1257.6769     1326.5569      452    5.48%
Lazy DEBUG Label, root: ENSP00000329040   y value: 1
      0     0     1325.1404    21     1257.6769   ZeroHalf: 2      457    5.36%
*     0+    0                         1294.9371     1325.1404      457    2.33%
      0     0     1325.1289    20     1294.9371 UserPurge1: 175      460    2.33%
      0     0     1325.1105    25     1294.9371 UserPurge1: 176      464    2.33%
      0     0     1325.1002    24     1294.9371 UserPurge1: 179      468    2.33%
      0     0     1325.0897    25     1294.9371 UserPurge1: 177      473    2.33%
      0     0     1325.0816    27     1294.9371 UserPurge1: 178      478    2.33%
      0     0     1325.0766    32     1294.9371 UserPurge1: 180      482    2.33%
      0     0     1325.0662    32     1294.9371 UserPurge1: 184      490    2.33%
      0     0     1325.0523    34     1294.9371 UserPurge1: 182      499    2.33%
      0     0     1325.0455    33     1294.9371 UserPurge1: 184      504    2.33%
      0     0     1325.0417    38     1294.9371 UserPurge1: 185      508    2.32%
      0     0     1325.0326    31     1294.9371 UserPurge1: 188      514    2.32%
      0     0     1325.0176    31     1294.9371 UserPurge1: 182      515    2.32%
      0     0     1325.0129    32     1294.9371 UserPurge1: 183      519    2.32%
      0     0     1325.0088    33     1294.9371 UserPurge1: 184      523    2.32%
      0     0     1325.0073    44     1294.9371 UserPurge1: 185      526    2.32%
      0     0     1325.0054    33     1294.9371 UserPurge1: 191      531    2.32%
      0     0     1325.0009    40     1294.9371 UserPurge1: 185      535    2.32%
      0     0     1324.9921    46     1294.9371 UserPurge1: 189      544    2.32%
      0     0     1324.9898    40     1294.9371 UserPurge1: 193      547    2.32%
      0     0     1324.9886    46     1294.9371 UserPurge1: 190      551    2.32%
      0     0     1324.9811    48     1294.9371 UserPurge1: 193      561    2.32%
      0     0     1324.9787    44     1294.9371 UserPurge1: 192      569    2.32%
      0     0     1324.9668    40     1294.9371 UserPurge1: 193      579    2.32%
      0     0     1324.9564    37     1294.9371 UserPurge1: 188      585    2.32%
      0     0     1324.9511    36     1294.9371 UserPurge1: 187      588    2.32%
      0     0     1324.9436    43     1294.9371 UserPurge1: 187      594    2.32%
      0     0     1324.9380    36     1294.9371 UserPurge1: 192      608    2.32%
      0     0     1324.9343    52     1294.9371 UserPurge1: 186      624    2.32%
      0     0     1324.9267    27     1294.9371 UserPurge1: 196      630    2.32%
      0     0     1324.9265    38     1294.9371 UserPurge1: 180      632    2.32%
      0     0     1324.9189    26     1294.9371 UserPurge1: 188      639    2.32%
      0     0     1324.9171    37     1294.9371 UserPurge1: 180      643    2.32%
      0     0     1324.9088    53     1294.9371 UserPurge1: 188      650    2.31%
      0     0     1324.9058    52     1294.9371 UserPurge1: 197      652    2.31%
      0     0     1324.9042    49     1294.9371 UserPurge1: 197      659    2.31%
      0     0     1324.9018    55     1294.9371 UserPurge1: 197      667    2.31%
      0     0     1324.9006    59     1294.9371 UserPurge1: 197      674    2.31%
      0     0     1324.8879    32     1294.9371 UserPurge1: 200      684    2.31%
      0     0     1324.8841    54     1294.9371 UserPurge1: 185      688    2.31%
      0     0     1324.8817    36     1294.9371 UserPurge1: 197      692    2.31%
      0     0     1324.8807    49     1294.9371 UserPurge1: 185      699    2.31%
      0     0     1324.8800    45     1294.9371 UserPurge1: 196      705    2.31%
      0     0     1324.8778    52     1294.9371 UserPurge1: 193      710    2.31%
      0     0     1324.8754    48     1294.9371 UserPurge1: 196      720    2.31%
      0     0     1324.8692    52     1294.9371 UserPurge1: 195      729    2.31%
