intEpsilon: 1e-05
cutEpsilon: 1e-05
Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 117970.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 739.35 sec. (117052.81 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0       19.2609     7                     19.2609    44041         
*     0+    0                           14.3114       19.2609    44041   34.58%
      0     0       19.0595     7       14.3114   ZeroHalf: 2    44083   33.18%
      0     0       17.3598    17       14.3114 UserPurge1: 16    44143   21.30%
      0     0       17.2927    21       14.3114 UserPurge1: 13    44165   20.83%
      0     0       17.2426     6       14.3114 UserPurge1: 13    44176   20.48%
      0     0       16.9463    15       14.3114 UserPurge1: 12    44229   18.41%
      0     0       16.9014    25       14.3114 UserPurge1: 11    44236   18.10%
      0     0       16.8902    26       14.3114 UserPurge1: 12    44243   18.02%
      0     0       16.8360    22       14.3114 UserPurge1: 14    44249   17.64%
      0     0       16.7947    26       14.3114 UserPurge1: 13    44266   17.35%
      0     0       16.7850    14       14.3114 UserPurge1: 13    44274   17.28%
      0     0       16.7716    18       14.3114 UserPurge1: 10    44282   17.19%
      0     0       16.7538    11       14.3114 UserPurge1: 11    44290   17.07%
      0     0       16.6550    30       14.3114 UserPurge1: 12    44347   16.38%
      0     0       16.6217    19       14.3114 UserPurge1: 16    44351   16.14%
      0     0       16.6193    32       14.3114 UserPurge1: 14    44358   16.13%
      0     0       16.5293    32       14.3114 UserPurge1: 18    44374   15.50%
      0     0       16.5124    31       14.3114 UserPurge1: 12    44377   15.38%
      0     0       16.4730    23       14.3114 UserPurge1: 10    44390   15.10%
      0     0       16.4479    32       14.3114 UserPurge1: 13    44398   14.93%
      0     0       16.4255    35       14.3114 UserPurge1: 9    44401   14.77%
      0     0       16.4252    14       14.3114 UserPurge1: 11    44404   14.77%
      0     0       16.3668    33       14.3114 UserPurge1: 12    44425   14.36%
      0     0       16.3400    19       14.3114 UserPurge1: 10    44436   14.17%
      0     0       16.3229    36       14.3114 UserPurge1: 9    44442   14.05%
      0     0       16.2954    38       14.3114 UserPurge1: 9    44448   13.86%
      0     0       16.2900    32       14.3114 UserPurge1: 9    44451   13.82%
      0     0       16.2794    34       14.3114 UserPurge1: 11    44459   13.75%
      0     0       16.2741    28       14.3114 UserPurge1: 9    44462   13.71%
      0     0       16.2526    38       14.3114 UserPurge1: 12    44472   13.56%
      0     0       16.2368    53       14.3114 UserPurge1: 9    44478   13.45%
      0     0       16.1590    17       14.3114 UserPurge1: 9    44505   12.91%
      0     0       16.1578    28       14.3114 UserPurge1: 1    44507   12.90%
      0     0       16.1567    17       14.3114 UserPurge1: 1    44509   12.89%
      0     0       16.1560    30       14.3114 UserPurge1: 1    44511   12.89%
      0     0       16.1558    20       14.3114 UserPurge1: 1    44513   12.89%
      0     0       16.1553    32       14.3114 UserPurge1: 1    44515   12.88%
      0     0       16.1511    18       14.3114 UserPurge1: 1    44520   12.85%
      0     0       16.1482    30       14.3114 UserPurge1: 1    44522   12.83%
      0     0       16.1459    18       14.3114 UserPurge1: 1    44527   12.82%
      0     0       16.1449    21       14.3114 UserPurge1: 1    44530   12.81%
      0     0       16.1419    30       14.3114 UserPurge1: 1    44535   12.79%
      0     0       16.1416    19       14.3114 UserPurge1: 1    44536   12.79%
      0     0       16.1413    32       14.3114 UserPurge1: 1    44538   12.79%
      0     0       16.1360    18       14.3114 UserPurge1: 1    44542   12.75%
      0     0       16.1348    21       14.3114 UserPurge1: 1    44549   12.74%
      0     0       16.1342    30       14.3114 UserPurge1: 1    44554   12.74%
      0     0       16.1342    18       14.3114 UserPurge1: 1    44555   12.74%
      0     0       16.1338    31       14.3114 UserPurge1: 1    44561   12.73%
      0     0       16.1328    29       14.3114 UserPurge1: 1    44564   12.73%
      0     0       16.1323    27       14.3114 UserPurge1: 1    44566   12.72%
      0     0       16.1321    33       14.3114 UserPurge1: 1    44567   12.72%
      0     0       16.1309    31       14.3114 UserPurge1: 1    44575   12.71%
      0     0       16.1305    32       14.3114 UserPurge1: 1    44578   12.71%
      0     0       16.1303    34       14.3114 UserPurge1: 1    44579   12.71%
      0     0       16.1288    31       14.3114 UserPurge1: 1    44584   12.70%
      0     0       16.1280    32       14.3114 UserPurge1: 1    44588   12.69%
      0     0       16.1274    33       14.3114 UserPurge1: 1    44593   12.69%
      0     0       16.1271    33       14.3114 UserPurge1: 1    44596   12.69%
      0     0       16.1262    34       14.3114 UserPurge1: 1    44601   12.68%
      0     0       16.1260    17       14.3114 UserPurge1: 1    44602   12.68%
      0     0       16.1252    33       14.3114 UserPurge1: 1    44607   12.67%
      0     0       16.1239    36       14.3114 UserPurge1: 1    44610   12.66%
      0     0       16.1189    17       14.3114 UserPurge1: 1    44616   12.63%
      0     0       16.1179    30       14.3114 UserPurge1: 1    44621   12.62%
      0     0       16.1175    18       14.3114 UserPurge1: 1    44622   12.62%
      0     0       16.1169    31       14.3114 UserPurge1: 1    44623   12.62%
      0     0       16.1147    30       14.3114 UserPurge1: 1    44625   12.60%
      0     0       16.1142    32       14.3114 UserPurge1: 1    44627   12.60%
      0     0       16.1139    18       14.3114 UserPurge1: 1    44628   12.59%
      0     0       16.1131     9       14.3114 UserPurge1: 1    44632   12.59%
      0     0       16.1120    22       14.3114 UserPurge1: 1    44637   12.58%
      0     0       16.1117    18       14.3114 UserPurge1: 1    44638   12.58%
      0     0       16.1105    24       14.3114 UserPurge1: 1    44641   12.57%
      0     0       16.1101    29       14.3114 UserPurge1: 1    44643   12.57%
      0     0       16.1084    33       14.3114 UserPurge1: 1    44648   12.56%
      0     0       16.1062    33       14.3114 UserPurge1: 1    44651   12.54%
      0     0       16.1004    23       14.3114 UserPurge1: 1    44658   12.50%
      0     0       16.0994    18       14.3114 UserPurge1: 1    44660   12.49%
      0     0       16.0989    24       14.3114 UserPurge1: 1    44661   12.49%
      0     0       16.0984    26       14.3114 UserPurge1: 1    44663   12.49%
      0     0       16.0969    33       14.3114 UserPurge1: 1    44669   12.48%
      0     0       16.0964    17       14.3114 UserPurge1: 1    44670   12.47%
      0     0       16.0948    21       14.3114 UserPurge1: 1    44676   12.46%
      0     0       16.0940    20       14.3114 UserPurge1: 1    44679   12.46%
      0     0       16.0927    22       14.3114 UserPurge1: 1    44683   12.45%
      0     0       16.0926    25       14.3114 UserPurge1: 1    44684   12.45%
      0     0       16.0914    17       14.3114 UserPurge1: 1    44690   12.44%
      0     0       16.0911    25       14.3114 UserPurge1: 1    44693   12.44%
      0     0       16.0906    17       14.3114 UserPurge1: 1    44695   12.43%
      0     0       16.0904    29       14.3114 UserPurge1: 1    44699   12.43%
      0     0       16.0901    24       14.3114 UserPurge1: 1    44704   12.43%
      0     0       16.0898    28       14.3114 UserPurge1: 1    44708   12.43%
      0     0       16.0896    26       14.3114 UserPurge1: 1    44713   12.42%
      0     0       16.0895    29       14.3114 UserPurge1: 1    44719   12.42%
      0     0       16.0894    31       14.3114 UserPurge1: 1    44723   12.42%
      0     0       16.0887    29       14.3114 UserPurge1: 1    44731   12.42%
      0     0       16.0882    29       14.3114 UserPurge1: 1    44734   12.42%
      0     0       16.0882    24       14.3114 UserPurge1: 1    44735   12.41%
      0     0       16.0881    32       14.3114 UserPurge1: 1    44737   12.41%
      0     0       16.0863    22       14.3114 UserPurge1: 1    44746   12.40%
      0     0       16.0858    33       14.3114 UserPurge1: 1    44749   12.40%
      0     0       16.0856    18       14.3114 UserPurge1: 1    44751   12.40%
      0     0       16.0852    26       14.3114 UserPurge1: 1    44757   12.39%
      0     0       16.0850    17       14.3114 UserPurge1: 1    44758   12.39%
      0     0       16.0850    17       14.3114 UserPurge1: 1    44759   12.39%
      0     0       16.0848    31       14.3114 UserPurge1: 1    44763   12.39%
      0     0       16.0844    36       14.3114 UserPurge1: 1    44772   12.39%
      0     0       16.0841    31       14.3114 UserPurge1: 1    44775   12.39%
      0     0       16.0831    36       14.3114 UserPurge1: 1    44782   12.38%
      0     0       16.0830    18       14.3114 UserPurge1: 1    44783   12.38%
      0     0       16.0827    38       14.3114 UserPurge1: 1    44785   12.38%
      0     0       16.0822    18       14.3114 UserPurge1: 1    44786   12.37%
      0     0       16.0813    19       14.3114 UserPurge1: 1    44791   12.37%
      0     0       16.0811    22       14.3114 UserPurge1: 1    44792   12.37%
      0     0       16.0809    17       14.3114 UserPurge1: 1    44796   12.36%
      0     0       16.0809    38       14.3114 UserPurge1: 1    44797   12.36%
      0     0       16.0797    22       14.3114 UserPurge1: 1    44803   12.36%
      0     0       16.0793    37       14.3114 UserPurge1: 1    44807   12.35%
      0     0       16.0787     9       14.3114 UserPurge1: 1    44812   12.35%
      0     0       16.0779    35       14.3114 UserPurge1: 1    44819   12.34%
      0     0       16.0769    37       14.3114 UserPurge1: 1    44824   12.34%
      0     0       16.0768    18       14.3114 UserPurge1: 1    44825   12.34%
      0     0       16.0764    36       14.3114 UserPurge1: 1    44837   12.33%
      0     0       16.0760    18       14.3114 UserPurge1: 1    44838   12.33%
      0     0       16.0753    37       14.3114 UserPurge1: 1    44843   12.32%
      0     0       16.0742    25       14.3114 UserPurge1: 1    44849   12.32%
      0     0       16.0738    39       14.3114 UserPurge1: 1    44855   12.31%
      0     0       16.0726    39       14.3114 UserPurge1: 1    44871   12.31%
      0     0       16.0721    33       14.3114 UserPurge1: 1    44876   12.30%
      0     0       16.0715    35       14.3114 UserPurge1: 1    44883   12.30%
      0     0       16.0713    38       14.3114 UserPurge1: 1    44887   12.30%
      0     0       16.0704    17       14.3114 UserPurge1: 1    44895   12.29%
      0     0       16.0703    37       14.3114 UserPurge1: 1    44898   12.29%
      0     0       16.0699    37       14.3114 UserPurge1: 1    44907   12.29%
      0     0       16.0696    40       14.3114 UserPurge1: 1    44921   12.29%
      0     0       16.0687    39       14.3114 UserPurge1: 1    44929   12.28%
      0     0       16.0682    39       14.3114 UserPurge1: 1    44935   12.28%
      0     0       16.0680    17       14.3114 UserPurge1: 1    44936   12.27%
