gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	score_corrected	pos_score	pos_score_corr	pass_thr
ENSMUSG00000000001	0.266887687832774	6.08424788009185	-6.23904737549392	0.379094184228691	0.823760176588918	Gnai3	-3.09627499233953	mus	-3.61441782437059	FALSE	FALSE	FALSE
ENSMUSG00000000003	-0.102805165526461	3.20090772179266	-6.44242411674491	0.533579310490795	0.892222904104648	Pbsn	-3.34390917080609	mus	-3.74821814411607	FALSE	FALSE	FALSE
ENSMUSG00000000028	-0.178754829694997	6.96033634863855	-6.17730872370016	0.345243091645545	0.805977525543251	Cdc45	-3.0285127795206	mus	-3.57564450596085	FALSE	FALSE	FALSE
ENSMUSG00000000031	0.136823293986235	3.9436975081477	-6.51934994650822	0.623065637569178	0.914639320436151	H19	-3.45623112208522	mus	-3.8161544818864	FALSE	FALSE	FALSE
ENSMUSG00000000037	0.0944033011760492	3.66547892701782	-6.52119342963956	0.625593373090616	0.914639320436151	Scml2	-3.45916422714929	mus	-3.81823938678745	FALSE	FALSE	FALSE
ENSMUSG00000000049	-0.116424219628173	4.0466803421055	-6.27720216190432	0.402381734464538	0.833771196265131	Apoh	-3.13946428160393	mus	-3.63893757441228	FALSE	FALSE	FALSE
ENSMUSG00000000056	-0.352372594745904	5.04799192932758	-5.45185356616077	0.131950416559413	0.618460789095959	Narf	-2.3317190795144	mus	-3.1895253873057	FALSE	FALSE	FALSE
ENSMUSG00000000058	-0.453947696492898	5.09849235556311	-3.44490861788545	0.0135630500090471	0.218482272855161	Cav2	-0.68353634043022	mus	-2.47499629612776	FALSE	FALSE	FALSE
ENSMUSG00000000078	0.29059984835915	8.77514036887715	-5.7970796537208	0.204050416755317	0.700052927018388	Klf6	-2.64753706263988	mus	-3.36518419890802	FALSE	FALSE	FALSE
ENSMUSG00000000085	-0.0590722118534917	5.73959900213871	-6.53186586210521	0.640696907066618	0.919458121200736	Scmh1	-3.47644667081581	mus	-3.82775250711396	FALSE	FALSE	FALSE
ENSMUSG00000000088	0.0506231789022493	11.2743063899372	-6.57669651863478	0.715582124165766	0.937159586817612	Cox5a	-3.55652743410805	mus	-3.87718274379858	FALSE	FALSE	FALSE
ENSMUSG00000000093	0.0846484708651531	3.13621384913737	-6.52116848980834	0.625559023275572	0.914639320436151	Tbx2	-3.45912444818774	mus	-3.81816832851418	FALSE	FALSE	FALSE
ENSMUSG00000000094	-0.215528864087864	3.64285779166627	-5.5859750226524	0.155813678748644	0.649473899443548	Tbx4	-2.45214804505851	mus	-3.25494229003538	FALSE	FALSE	FALSE
ENSMUSG00000000103	-0.158425100038165	3.04816021632174	-6.11714132438731	0.3160742522183	0.785893940080111	Zfy2	-2.96456428027401	mus	-3.54060334215707	FALSE	FALSE	FALSE
ENSMUSG00000000120	0.00713207549865924	4.32700100017257	-6.64528566696072	0.959098041252629	0.990494896828209	Ngfr	-3.76871702548201	mus	-3.99703721704855	FALSE	FALSE	FALSE
ENSMUSG00000000125	-0.0813756886108932	2.99819914698655	-6.46409585400782	0.556135278706574	0.898523757164465	Wnt3	-3.37390424874496	mus	-3.76672637196682	FALSE	FALSE	FALSE
ENSMUSG00000000126	0.0358392275144785	3.31735431246199	-6.62460030990577	0.83785826723287	0.967763650383382	Wnt9a	-3.67081151331122	mus	-3.94044038636791	FALSE	FALSE	FALSE
ENSMUSG00000000127	0.0268340262405884	3.42886761397251	-6.62953834989616	0.856921021212829	0.970830066102024	Fert2	-3.6871093537498	mus	-3.95010246904068	FALSE	FALSE	FALSE
ENSMUSG00000000131	-0.0735725897048241	9.92960421755161	-6.44148681632866	0.532641661091071	0.891694017190551	Xpo6	-3.34263498541362	mus	-3.74756820214168	FALSE	FALSE	FALSE
ENSMUSG00000000142	-0.120834172541224	6.27239341330668	-6.28850932165353	0.409679527644692	0.837390125680655	Axin2	-3.152485562267	mus	-3.64587608691761	FALSE	FALSE	FALSE
ENSMUSG00000000148	0.209056363149319	4.63183864510493	-5.63111150894791	0.164913182469501	0.662613952547224	AA881470	-2.49326663292841	mus	-3.27362323229918	FALSE	FALSE	FALSE
ENSMUSG00000000149	-0.0359830034946507	7.06365305687915	-6.60900076335417	0.789205712725487	0.955335201592803	Gna12	-3.62747342434463	mus	-3.91775671538668	FALSE	FALSE	FALSE
ENSMUSG00000000154	-0.24195181559322	5.19727197638856	-5.65636911238725	0.1702688667511	0.66686394919831	Slc22a18	-2.51641980130539	mus	-3.28499010576923	FALSE	FALSE	FALSE
ENSMUSG00000000157	-0.129655952163488	4.7690376247037	-6.32440158653132	0.434188895273334	0.847737015375219	Itgb2l	-3.19457942519956	mus	-3.67143270158113	FALSE	FALSE	FALSE
ENSMUSG00000000159	0.132713628990185	3.59177831180176	-6.3839725888123	0.480154417186541	0.866017767776086	Igsf5	-3.2674795731177	mus	-3.71092086304021	FALSE	FALSE	FALSE
ENSMUSG00000000168	-0.184716300187784	7.01944955955845	-5.83467025867047	0.214362995920002	0.710904174289265	Dlat	-2.68325520889496	mus	-3.38674779128367	FALSE	FALSE	FALSE
ENSMUSG00000000171	-0.0382903793413263	6.81428103606399	-6.63148424473945	0.865208199289803	0.972414267282732	Sdhd	-3.69408177372225	mus	-3.95411999890608	FALSE	FALSE	FALSE
ENSMUSG00000000182	0.131847479720425	3.7199635558196	-6.26088400905423	0.392178160642423	0.830845307287482	Fgf23	-3.12085674868515	mus	-3.6287772681716	FALSE	FALSE	FALSE
ENSMUSG00000000183	-0.129359810280376	4.08453272909251	-6.37596466436029	0.473536040651339	0.863465296687081	Fgf6	-3.25742438368545	mus	-3.70498514705002	FALSE	FALSE	FALSE
ENSMUSG00000000184	0.144111696536633	12.0463997461197	-5.99778254385455	0.267052708974414	0.758829698831773	Ccnd2	-2.84247168162948	mus	-3.4718542976977	FALSE	FALSE	FALSE
ENSMUSG00000000202	-0.133813069519927	3.45473840476562	-6.0294647121293	0.279063797046581	0.768974163035258	Btbd17	-2.87434346312132	mus	-3.48998699439586	FALSE	FALSE	FALSE
ENSMUSG00000000204	0.86927451608614	4.01537403440902	1.90392136261726	5.1643531108442e-05	0.00435326669418901	Slfn4	3.35219369278054	mus	-1.4357414583049	TRUE	FALSE	FALSE
ENSMUSG00000000214	-0.0705292922889083	3.62644139301111	-6.55057811796324	0.669383377972471	0.9242432570545	Th	-3.50817797241988	mus	-3.84844677669751	FALSE	FALSE	FALSE
ENSMUSG00000000215	-0.0609247006458684	5.02233492492527	-6.5810381085128	0.724175239477252	0.939520361315816	Ins2	-3.56517523613242	mus	-3.88178911708187	FALSE	FALSE	FALSE
ENSMUSG00000000216	-0.176727861453546	4.01732141258301	-5.79423053325682	0.203292943340629	0.700011888719254	Scnn1g	-2.64484275920705	mus	-3.36277578703157	FALSE	FALSE	FALSE
ENSMUSG00000000244	-0.522799720456246	7.53830208600266	-1.41374456081985	0.00157923203870348	0.0541381857947736	Tspan32	0.874331557411604	mus	-2.01549150737652	TRUE	FALSE	FALSE
ENSMUSG00000000247	-0.137716787896696	3.8587678502696	-6.333461607418	0.440725207300017	0.850394939885725	Lhx2	-3.20540409580507	mus	-3.67751988257543	FALSE	FALSE	FALSE
ENSMUSG00000000248	-0.362704278317585	3.2458546611018	-3.83255806760006	0.0206743427158147	0.273884968572155	Clec2g	-0.988924672530441	mus	-2.57981189708934	FALSE	FALSE	FALSE
ENSMUSG00000000253	0.0513692582981555	4.67357724151622	-6.6091014828647	0.789481064331278	0.955335201592803	Gmpr	-3.62772613927286	mus	-3.91785503891329	FALSE	FALSE	FALSE
ENSMUSG00000000263	-0.113675059058301	3.10374176077441	-5.92927096626825	0.243195779610069	0.740844173183446	Glra1	-2.77467805992628	mus	-3.43455730186794	FALSE	FALSE	FALSE
ENSMUSG00000000266	0.141553410126777	3.3637900409131	-6.22687125809525	0.372065110605121	0.818775014636207	Mid2	-3.08271629476365	mus	-3.60672431423784	FALSE	FALSE	FALSE
ENSMUSG00000000275	-0.00288993389165348	6.93367629754958	-6.64648755279587	0.985073843719358	0.995894151585609	Trim25	-3.78807676053221	mus	-4.00719045567897	FALSE	FALSE	FALSE
ENSMUSG00000000276	0.0685552044394004	6.01155007520487	-6.56201401002312	0.68858213306491	0.929053948401358	Dgke	-3.52866375301494	mus	-3.86060157110819	FALSE	FALSE	FALSE
ENSMUSG00000000278	-0.13268053818727	7.56425137874235	-6.52855367344325	0.635920653325503	0.918364956197536	Scpep1	-3.47102581502934	mus	-3.82477157459142	FALSE	FALSE	FALSE
ENSMUSG00000000282	-0.149060301908604	3.84389431085304	-5.8618562857719	0.222207673014077	0.717761104632147	Mnt	-2.70929314255442	mus	-3.4026588987338	FALSE	FALSE	FALSE
ENSMUSG00000000290	-0.501724204268946	11.0049646646691	1.45386648057689	8.18932937673393e-05	0.00629912978996653	Itgb2	3.0181838099401	mus	-1.49829085293981	TRUE	FALSE	FALSE
ENSMUSG00000000295	-0.143918563158704	8.57945344181297	-5.76137573936442	0.194792332199471	0.688753501506331	Hddc2	-2.61389855563084	mus	-3.34428245646196	FALSE	FALSE	FALSE
ENSMUSG00000000296	-0.080925015849628	3.24952991567462	-6.51608336427748	0.618641831414655	0.914639320436151	Tpd52l1	-3.45106912347839	mus	-3.8128586819881	FALSE	FALSE	FALSE
ENSMUSG00000000301	0.140001176207399	5.38865692699184	-6.11124233497884	0.313392303924489	0.785087216883218	Pemt	-2.95839094849369	mus	-3.5371490773383	FALSE	FALSE	FALSE
ENSMUSG00000000303	-0.178925611442597	3.03572285265429	-6.1843868576526	0.348908130769148	0.806705541692363	Cdh1	-3.03616289178461	mus	-3.58119140922881	FALSE	FALSE	FALSE
