gene_id	logFC	logCPM	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000000003	-0.0623699121382127	1.32716029343487	0.791540647382897	0.919614311241261	TSPAN6	-7.7654449875066	hsa	FALSE	FALSE
ENSG00000000419	0.133533788748306	5.67421982016764	0.159682165539107	0.465324391567499	DPM1	-6.45979388869286	hsa	FALSE	FALSE
ENSG00000000457	0.782178205570408	4.29608041682589	6.13813647222925e-06	0.000281342496985365	SCYL3	1.83220453907174	hsa	TRUE	FALSE
ENSG00000000460	0.565327918338432	2.9984167900965	0.000148570166436429	0.00443689377713374	C1orf112	-0.76681794936232	hsa	FALSE	FALSE
ENSG00000001036	0.508101313174463	0.970545481451274	0.0460772107267414	0.249594864858751	FUCA2	-5.44607904627769	hsa	FALSE	FALSE
ENSG00000001084	-0.0347029537452657	5.20584142864572	0.747239275561846	0.90053800366049	GCLC	-7.71846835531774	hsa	FALSE	FALSE
ENSG00000001167	0.135870097487915	5.31719966050595	0.210051304235485	0.521546751873325	NFYA	-6.6834112237691	hsa	FALSE	FALSE
ENSG00000001460	0.178031962644191	2.20927230375718	0.335046003891745	0.641973238534665	C1orf201	-7.06424019597926	hsa	FALSE	FALSE
ENSG00000001461	-0.0405194289431191	4.86696480644189	0.703702082439634	0.879926467229653	NIPAL3	-7.6695060180478	hsa	FALSE	FALSE
ENSG00000001497	-0.151587527318286	6.35159615396873	0.0979774305810985	0.369052254323084	LAS1L	-6.06140270429809	hsa	FALSE	FALSE
ENSG00000001561	0.121839231040873	3.53702214303868	0.340895050104147	0.646110233558496	ENPP4	-7.07835608548672	hsa	FALSE	FALSE
ENSG00000001629	-0.0276404057930926	5.40234111157685	0.788314203772521	0.918281105176463	ANKIB1	-7.76211357296531	hsa	FALSE	FALSE
ENSG00000001630	-0.183225150330897	1.89482766867549	0.38523372479257	0.681911104587555	CYP51A1	-7.17808724703921	hsa	FALSE	FALSE
ENSG00000001631	-0.0775487885948381	4.5758541234517	0.523730460170966	0.778382000805803	KRIT1	-7.42858803304688	hsa	FALSE	FALSE
ENSG00000002016	-0.287915868746741	3.07316861640842	0.0406941686846386	0.234225452047324	RAD52	-5.34475080021501	hsa	FALSE	FALSE
ENSG00000002330	-0.0551320160516048	3.06046019961566	0.709652953248259	0.882930425160507	BAD	-7.67637437725108	hsa	FALSE	FALSE
ENSG00000002549	0.431018407466699	5.80375977593396	4.54563661278046e-05	0.00166263329749147	LAP3	0.199131844898343	hsa	TRUE	FALSE
ENSG00000002586	0.0103013686059311	6.51746915314915	0.907476027859709	0.965920824608503	CD99	-7.87692960760418	hsa	FALSE	FALSE
ENSG00000002822	0.201960352807022	6.71886699133945	0.0436356397110302	0.242996332756618	MAD1L1	-5.40167289381102	hsa	FALSE	FALSE
ENSG00000002834	0.132155298180364	5.24431987788202	0.196074024334022	0.505340064526978	LASP1	-6.62724757344659	hsa	FALSE	FALSE
ENSG00000002919	-0.103989801923503	3.58067113616115	0.44411745367635	0.725414974088088	SNX11	-7.29410097269623	hsa	FALSE	FALSE
ENSG00000003056	-0.174925731167941	5.07045388799178	0.0913152395921305	0.355184206719406	M6PR	-6.00396674486405	hsa	FALSE	FALSE
ENSG00000003393	-0.000419540190277268	3.91410936864051	0.997448326438343	0.998694164721335	ALS2	-7.95403336080358	hsa	FALSE	FALSE
ENSG00000003400	0.356400272227439	4.88437454100873	0.0286866941560928	0.189223302042799	CASP10	-5.05956593751354	hsa	FALSE	FALSE
ENSG00000003402	0.0741380961441867	6.9557911314994	0.511903547686724	0.770537664991795	CFLAR	-7.40995836387237	hsa	FALSE	FALSE
ENSG00000003436	0.23431440090051	1.65810568576213	0.322447851188239	0.630146375225607	TFPI	-7.03298015742637	hsa	FALSE	FALSE
ENSG00000003509	-0.105319732786659	4.64895446277969	0.332627036942183	0.639152658669768	C2orf56	-7.05833017290844	hsa	FALSE	FALSE
ENSG00000003756	-0.116760901306414	8.2358048658824	0.270837790496467	0.582902179649517	RBM5	-6.89071753759926	hsa	FALSE	FALSE
ENSG00000004059	0.0817848099752627	6.38353463330825	0.391466843561311	0.685477835639895	ARF5	-7.19117853225832	hsa	FALSE	FALSE
ENSG00000004139	-0.414483548233437	2.38654351294047	0.0152849921261869	0.129492963083938	SARM1	-4.54607868914526	hsa	FALSE	FALSE
ENSG00000004142	0.0829426021044824	6.34558754148199	0.383488957806861	0.681316204628282	POLDIP2	-7.17438479307767	hsa	FALSE	FALSE
ENSG00000004399	-0.0961088649882883	6.1461722127393	0.334133384669451	0.641026130395311	PLXND1	-7.06201551107638	hsa	FALSE	FALSE
ENSG00000004455	-0.17774163913121	3.69572936452851	0.214512423154895	0.52559113979581	AK2	-6.70055229971103	hsa	FALSE	FALSE
ENSG00000004468	-0.0105182243724395	3.7032225636799	0.931808099749767	0.97338426550148	CD38	-7.89851086711619	hsa	FALSE	FALSE
ENSG00000004478	-0.0226256884731425	4.61958629597284	0.838583065676899	0.941308422630636	FKBP4	-7.81253305414187	hsa	FALSE	FALSE
ENSG00000004487	-0.0856597946521401	6.46179684717991	0.357473745654464	0.660231583671485	KDM1A	-7.1170879419882	hsa	FALSE	FALSE
ENSG00000004534	-0.175996156570078	6.79694575325034	0.0496132184883899	0.259427581673725	RBM6	-5.50638548482739	hsa	FALSE	FALSE
ENSG00000004660	-0.0845750543343571	3.44296522656165	0.595260503612185	0.824678330569007	CAMKK1	-7.53300610872049	hsa	FALSE	FALSE
ENSG00000004700	0.0511112374458036	4.89076261202728	0.626898631146798	0.840890854674458	RECQL	-7.57524390365675	hsa	FALSE	FALSE
ENSG00000004766	0.0677041570272851	4.70782632693603	0.543050261864478	0.794649359577327	CCDC132	-7.45813386171871	hsa	FALSE	FALSE
ENSG00000004777	-0.397791334655803	4.7483697439734	0.000970185613161358	0.0194550201562309	ARHGAP33	-2.29728353321753	hsa	FALSE	FALSE
ENSG00000004779	0.196214480892772	4.76727861331436	0.0695508655625266	0.306224483034446	NDUFAB1	-5.78190489432039	hsa	FALSE	FALSE
ENSG00000004838	-0.242279337719062	1.16600443717774	0.394547257690435	0.687162070867209	ZMYND10	-7.19757149502216	hsa	FALSE	FALSE
ENSG00000004864	0.0266053527467811	3.46950212740719	0.83781399140178	0.941243174215342	SLC25A13	-7.81178469062427	hsa	FALSE	FALSE
ENSG00000004866	0.269786579040519	1.41034558416217	0.28697372968701	0.598318830257212	ST7	-6.93791831290679	hsa	FALSE	FALSE
ENSG00000004897	0.0383475906385276	5.21144213578097	0.714883165038743	0.885470809940976	CDC27	-7.68236357901749	hsa	FALSE	FALSE
ENSG00000004961	0.261790794574426	3.68828884295573	0.0910723394676188	0.354756006933617	HCCS	-6.00179427421525	hsa	FALSE	FALSE
ENSG00000004975	-0.106053701796628	5.28034100892142	0.307130082175891	0.61707108514241	DVL2	-6.9932835934003	hsa	FALSE	FALSE
ENSG00000005007	0.0219781843431918	8.10223492078953	0.826396584649785	0.935288941434554	UPF1	-7.80059321916048	hsa	FALSE	FALSE
ENSG00000005022	0.0492171190037567	7.27037529682205	0.627133177019626	0.841084399147543	SLC25A5	-7.57554900240802	hsa	FALSE	FALSE
ENSG00000005059	0.0797835782642927	6.86378462753924	0.40459980539954	0.694956398759705	CCDC109B	-7.21809225901282	hsa	FALSE	FALSE
ENSG00000005075	-0.262298416267633	2.52519748225392	0.136257577737769	0.432519297370041	POLR2J	-6.3304043083381	hsa	FALSE	FALSE
ENSG00000005100	-0.137705318867626	3.70439349747051	0.281855710519732	0.593061155380419	DHX33	-6.92324079076002	hsa	FALSE	FALSE
ENSG00000005156	-0.186234128592956	5.25602761383207	0.0687812228096073	0.304282941739944	LIG3	-5.77282894808923	hsa	FALSE	FALSE
ENSG00000005175	0.0601684610105857	4.595223619027	0.670262281530281	0.863747881440619	RPAP3	-7.62979644938852	hsa	FALSE	FALSE
ENSG00000005187	0.0277953422795912	1.26451712563182	0.914640928107938	0.96916774776989	ACSM3	-7.88334402651676	hsa	FALSE	FALSE
ENSG00000005194	0.074958422960409	4.06346479781418	0.542092069212903	0.794006562338881	CIAPIN1	-7.45669344741486	hsa	FALSE	FALSE
ENSG00000005206	-0.233946419056428	6.68109713417288	0.0137179551397809	0.121777500511922	AC004410.1	-4.45785576679999	hsa	FALSE	FALSE
ENSG00000005238	-0.452003545205731	2.86968323745159	0.00580462347458957	0.0703129269482471	KIAA1539	-3.75637575632451	hsa	FALSE	FALSE
ENSG00000005302	0.0975115278199196	7.51954460603125	0.365305416024684	0.666028160513183	MSL3	-7.13476406261197	hsa	FALSE	FALSE
ENSG00000005339	0.0299446206327682	9.92450833577159	0.798831860787165	0.922801243909693	CREBBP	-7.77292367136302	hsa	FALSE	FALSE
ENSG00000005379	-0.338078592132582	5.7225084652371	0.00106498238004285	0.0208230492620277	BZRAP1	-2.37332120773907	hsa	FALSE	FALSE
ENSG00000005436	-0.0160515782405813	4.92430172192413	0.888395713235421	0.959154356448731	C2orf3	-7.85959764516549	hsa	FALSE	FALSE
ENSG00000005448	-0.194410560443442	3.96656101252537	0.11766571567311	0.404456665872652	WDR54	-6.21075245983528	hsa	FALSE	FALSE
ENSG00000005469	-0.100424895814014	2.96041094913435	0.485568666544849	0.752715649712054	CROT	-7.36688064713787	hsa	FALSE	FALSE
ENSG00000005483	0.15069258038511	9.06028964273672	0.183149471111888	0.488750124125199	MLL5	-6.57163029649499	hsa	FALSE	FALSE
ENSG00000005486	-0.238223357860162	8.27132497682631	0.0246958754461983	0.172251666364704	RHBDD2	-4.93738744938994	hsa	FALSE	FALSE
ENSG00000005700	0.0835414947537127	6.0252093121163	0.388631593806777	0.684055019454803	IBTK	-7.18524975672572	hsa	FALSE	FALSE
ENSG00000005801	0.00977629793489346	5.41594277498681	0.921827037110667	0.971134225684361	ZNF195	-7.88972715876238	hsa	FALSE	FALSE
ENSG00000005810	0.15323456483115	8.4602558022041	0.15489760336162	0.45886214745832	MYCBP2	-6.43498164219628	hsa	FALSE	FALSE
ENSG00000005812	-0.0304247229687669	7.08009214954154	0.745793102549303	0.900086913851668	FBXL3	-7.71688829980762	hsa	FALSE	FALSE
ENSG00000005844	-0.18346951677478	7.12043037539708	0.0516374362827078	0.265072465311921	ITGAL	-5.53900206702224	hsa	FALSE	FALSE
ENSG00000005882	0.0490062913644672	4.47151319332196	0.665953079390182	0.861655556034468	PDK2	-7.6245357547375	hsa	FALSE	FALSE
ENSG00000005884	-0.0965702180593054	1.99547281485798	0.619917320353949	0.837650571507662	ITGA3	-7.56610991762135	hsa	FALSE	FALSE
ENSG00000005889	0.176196016567065	6.82407934832135	0.0601705246962762	0.285862984936882	ZFX	-5.66374042853647	hsa	FALSE	FALSE
ENSG00000005893	0.262353291202271	4.86868533280408	0.0225226135637678	0.162947525002846	LAMP2	-4.86225490347321	hsa	FALSE	FALSE
ENSG00000005955	-0.0846703132684834	7.65452824520123	0.377210587624597	0.675835636160737	GGNBP2	-7.16092108130831	hsa	FALSE	FALSE
ENSG00000006007	0.13796078189303	3.77884554809915	0.251071948067682	0.562317031082719	GDE1	-6.82890894201022	hsa	FALSE	FALSE
ENSG00000006015	-0.0361301591580457	4.83243658549839	0.756456416931748	0.904890338078009	C19orf60	-7.72846750142741	hsa	FALSE	FALSE
ENSG00000006025	-0.341517875791217	4.91810868763711	0.0132855221909416	0.119340803428035	OSBPL7	-4.43173070089566	hsa	FALSE	FALSE
ENSG00000006062	0.0841089818383549	5.72758622130401	0.420492892466528	0.705723933111578	MAP3K14	-7.24951763063291	hsa	FALSE	FALSE
ENSG00000006114	-0.0194662459639011	6.86495375798961	0.832841984284406	0.938725750399489	SYNRG	-7.80692993719079	hsa	FALSE	FALSE
ENSG00000006125	0.0762046797393471	5.2353961473796	0.456265262296686	0.734686298689799	AP2B1	-7.31611088577487	hsa	FALSE	FALSE
ENSG00000006194	0.0473510729826081	5.87843460149744	0.614140036864404	0.834795834900952	ZNF263	-7.55847309526898	hsa	FALSE	FALSE
ENSG00000006282	-0.173412533560752	4.62062915865058	0.157735733920327	0.46332094801527	SPATA20	-6.44979079438545	hsa	FALSE	FALSE
ENSG00000006327	0.804586113859966	2.26694846371159	0.0137319630162488	0.121777500511922	TNFRSF12A	-4.45868820589633	hsa	FALSE	FALSE
ENSG00000006432	-0.0309123509500566	3.27047971650735	0.81842188808464	0.932296647277226	MAP3K9	-7.7926842336927	hsa	FALSE	FALSE
ENSG00000006451	0.48067693507189	5.87432049076948	5.56142648297096e-06	0.000258699366473664	RALA	1.91267956810873	hsa	TRUE	FALSE
ENSG00000006459	0.0682932523199055	6.96943960479676	0.496072961192596	0.759960940671272	JHDM1D	-7.3843369266709	hsa	FALSE	FALSE
ENSG00000006530	-0.0507762692066124	4.08981411742964	0.671799104982934	0.864434813986323	AGK	-7.63166443260697	hsa	FALSE	FALSE
ENSG00000006555	0.0758075977373761	1.68499256887905	0.751324409963477	0.901621944307856	TTC22	-7.72291521476883	hsa	FALSE	FALSE
ENSG00000006576	0.126152176177781	4.58341052976791	0.308743753528022	0.618330592016033	PHTF2	-6.99755770158487	hsa	FALSE	FALSE
ENSG00000006607	0.0608697933734747	3.49349421996081	0.634340712670552	0.844635323471404	FARP2	-7.5848694000536	hsa	FALSE	FALSE
