Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 61761.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.27 sec. (3095.31 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      278.3482     5                    278.3482    14154         
      0     0      264.7606    14               UserPurge1: 75    14397         
      0     0      260.0371    17               UserPurge1: 74    14496         
      0     0      259.9732    14               UserPurge1: 64    14502         
      0     0      259.8538    20               UserPurge1: 63    14513         
      0     0      259.7077    26               UserPurge1: 66    14571         
      0     0      259.6298    29               UserPurge1: 69    14592         
      0     0      259.5409    44               UserPurge1: 66    14633         
      0     0      259.4531    29               UserPurge1: 73    14643         
      0     0      259.4066    28               UserPurge1: 66    14659         
      0     0      259.3868    51               UserPurge1: 70    14668         
      0     0      259.3329    33               UserPurge1: 72    14683         
      0     0      259.3147    26               UserPurge1: 68    14694         
      0     0      259.3072    43               UserPurge1: 70    14703         
      0     0      259.2774    30               UserPurge1: 73    14718         
      0     0      259.2445    40               UserPurge1: 70    14741         
      0     0      259.2213   114               UserPurge1: 75    14759         
      0     0      259.1674    51               UserPurge1: 73    14801         
      0     0      259.1331    40               UserPurge1: 75    14824         
      0     0      259.1020    39               UserPurge1: 74    14838         
      0     0      259.0919    43               UserPurge1: 74    14843         
      0     0      259.0594    17               UserPurge1: 78    14857         
      0     0      259.0556    25               UserPurge1: 64    14871         
      0     0      259.0396    22               UserPurge1: 67    14889         
      0     0      259.0381    64               UserPurge1: 65    14890         
      0     0      259.0272    50               UserPurge1: 75    14905         
      0     0      259.0143    46               UserPurge1: 69    14930         
*     0+    0                          211.7716      259.0143    14930   22.31%
      0     0      258.9998    42      211.7716 UserPurge1: 74    14953   22.30%
      0     0      258.9843    53      211.7716 UserPurge1: 75    14989   22.29%
      0     0      258.9762    71      211.7716 UserPurge1: 75    15004   22.29%
      0     0      258.9632    70      211.7716 UserPurge1: 78    15027   22.28%
      0     0      258.9569    18      211.7716 UserPurge1: 76    15040   22.28%
      0     0      258.9497    50      211.7716 UserPurge1: 65    15049   22.28%
*     0+    0                          224.0301      258.9497    15049   15.59%
      0     0      258.9488    15      224.0301 UserPurge1: 72    15057   15.59%
      0     0      258.9433    75      224.0301 UserPurge1: 64    15084   15.58%
      0     0      258.9203    83      224.0301 UserPurge1: 78    15143   15.57%
      0     0      258.9121    95      224.0301 UserPurge1: 85    15163   15.57%
      0     0      258.9089    15      224.0301 UserPurge1: 85    15165   15.57%
      0     0      258.8974    59      224.0301 UserPurge1: 64    15198   15.56%
      0     0      258.8760    39      224.0301 UserPurge1: 80    15216   15.55%
      0     0      258.8697    78      224.0301 UserPurge1: 71    15220   15.55%
      0     0      258.8627    94      224.0301 UserPurge1: 76    15235   15.55%
      0     0      258.8592    55      224.0301 UserPurge1: 83    15244   15.55%
      0     0      258.8489    81      224.0301 UserPurge1: 80    15261   15.54%
      0     0      258.8273    50      224.0301 UserPurge1: 83    15297   15.53%
      0     0      258.8213    63      224.0301 UserPurge1: 77    15309   15.53%
      0     0      258.8015    91      224.0301 UserPurge1: 82    15330   15.52%
      0     0      258.7923    59      224.0301 UserPurge1: 84    15341   15.52%
      0     0      258.7736    67      224.0301 UserPurge1: 78    15374   15.51%
      0     0      258.7601    53      224.0301 UserPurge1: 79    15391   15.50%
      0     0      258.7524    81      224.0301 UserPurge1: 79    15409   15.50%
      0     0      258.7382   104      224.0301 UserPurge1: 84    15429   15.49%
      0     0      258.7174    89      224.0301 UserPurge1: 86    15476   15.48%
      0     0      258.6957   125      224.0301 UserPurge1: 91    15521   15.47%
      0     0      258.6908     7      224.0301 UserPurge1: 89    15535   15.47%
