Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 27519.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 0.42 sec. (124.45 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      324.3743     3                    334.7467      234         
*     0+    0                          290.0868      324.3743      234   11.82%
      0     0      318.5854     4      290.0868   ZeroHalf: 1      235    9.82%
*     0+    0                          298.8677      318.5854      235    6.60%
      0     0      317.3389    48      298.8677 UserPurge1: 118      267    6.18%
      0     0      315.9114     4      298.8677   ZeroHalf: 3      272    5.70%
*     0+    0                          304.0483      315.9114      272    3.90%
      0     0      315.7680     5      304.0483   ZeroHalf: 1      274    3.85%
*     0+    0                          306.9158      315.7680      274    2.88%
      0     0      314.7268     4      306.9158 UserPurge1: 122      280    2.54%
*     0+    0                          309.6567      314.7268      280    1.64%
      0     0      314.5828    11      309.6567 UserPurge1: 124      285    1.59%
      0     0      314.5380    17      309.6567 UserPurge1: 126      288    1.58%
      0     0      314.4930    49      309.6567 UserPurge1: 127      293    1.56%
      0     0      314.3319     5      309.6567 UserPurge1: 128      300    1.51%
      0     0      314.2657    16      309.6567 UserPurge1: 122      304    1.49%
      0     0      314.1828     3      309.6567 UserPurge1: 130      310    1.46%
      0     0      314.1524     7      309.6567 UserPurge1: 120      313    1.45%
      0     0      314.1315    11      309.6567 UserPurge1: 128      317    1.45%
      0     0      314.1208    15      309.6567 UserPurge1: 126      320    1.44%
      0     0      314.0795    20      309.6567 UserPurge1: 132      323    1.43%
      0     0      314.0444    36      309.6567 UserPurge1: 131      328    1.42%
      0     0      314.0347    19      309.6567 UserPurge1: 143      334    1.41%
      0     0      314.0137    24      309.6567 UserPurge1: 132      341    1.41%
      0     0      313.9955    28      309.6567 UserPurge1: 134      346    1.40%
      0     0      313.9691    62      309.6567 UserPurge1: 140      353    1.39%
      0     0      313.9310    19      309.6567 UserPurge1: 140      364    1.38%
      0     0      313.8904    31      309.6567 UserPurge1: 132      374    1.37%
      0     0      313.8776    27      309.6567 UserPurge1: 137      379    1.36%
      0     0      313.8530     6      309.6567 UserPurge1: 135      385    1.36%
      0     0      313.8516    35      309.6567 UserPurge1: 125      387    1.35%
      0     0      313.8400    14      309.6567 UserPurge1: 143      395    1.35%
      0     0      313.8281    33      309.6567 UserPurge1: 129      399    1.35%
      0     0      313.7750    35      309.6567 UserPurge1: 141      407    1.33%
      0     0      313.7453    36      309.6567 UserPurge1: 141      416    1.32%
      0     0      313.7348    17      309.6567 UserPurge1: 141      423    1.32%
      0     0      313.6962    41      309.6567 UserPurge1: 132      432    1.30%
      0     0      313.6856    33      309.6567 UserPurge1: 145      437    1.30%
      0     0      313.6603    21      309.6567 UserPurge1: 141      450    1.29%
      0     0      313.6475    31      309.6567 UserPurge1: 134      457    1.29%
      0     0      313.6246    72      309.6567 UserPurge1: 142      467    1.28%
      0     0      313.6208    72      309.6567 UserPurge1: 132      472    1.28%
      0     0      313.6056    63      309.6567 UserPurge1: 131      486    1.28%
      0     0      313.5962    44      309.6567 UserPurge1: 126      495    1.27%
      0     0      313.5957    74      309.6567 UserPurge1: 110      503    1.27%
      0     0      313.5818    60      309.6567 UserPurge1: 133      515    1.27%
      0     0      313.5764    73      309.6567 UserPurge1: 125      519    1.27%
