Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 63038.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 7.53 sec. (3011.74 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      323.2463     2                    323.2463    14177         
*     0+    0                          268.7251      323.2463    14177   20.29%
      0     0      311.8563     5      268.7251 UserPurge1: 118    14247   16.05%
*     0+    0                          288.6830      311.8563    14247    8.03%
      0     0      309.7176    12      288.6830 UserPurge1: 120    14280    7.29%
      0     0      308.9139    60      288.6830 UserPurge1: 120    14313    7.01%
      0     0      306.2814    61      288.6830 UserPurge1: 134    14381    6.10%
      0     0      305.9207    89      288.6830 UserPurge1: 120    14416    5.97%
      0     0      305.8323    90      288.6830 UserPurge1: 122    14435    5.94%
      0     0      305.7353    93      288.6830 UserPurge1: 125    14473    5.91%
      0     0      305.7001    91      288.6830 UserPurge1: 123    14480    5.89%
      0     0      305.6229    77      288.6830 UserPurge1: 125    14503    5.87%
      0     0      305.5826   102      288.6830 UserPurge1: 119    14512    5.85%
      0     0      305.5479    70      288.6830 UserPurge1: 127    14521    5.84%
      0     0      305.5464    86      288.6830 UserPurge1: 119    14522    5.84%
      0     0      305.5218    98      288.6830 UserPurge1: 127    14534    5.83%
      0     0      305.4917    98      288.6830 UserPurge1: 125    14549    5.82%
      0     0      305.4759   110      288.6830 UserPurge1: 124    14561    5.82%
      0     0      305.4687   106      288.6830 UserPurge1: 130    14574    5.81%
      0     0      305.4276    94      288.6830 UserPurge1: 134    14604    5.80%
      0     0      305.3815    85      288.6830 UserPurge1: 132    14624    5.78%
      0     0      305.3651   110      288.6830 UserPurge1: 119    14635    5.78%
      0     0      305.3524    73      288.6830 UserPurge1: 131    14641    5.77%
      0     0      305.3291    97      288.6830 UserPurge1: 117    14645    5.77%
      0     0      305.3238   105      288.6830 UserPurge1: 123    14654    5.76%
      0     0      305.3128   104      288.6830 UserPurge1: 129    14663    5.76%
      0     0      305.2482   101      288.6830 UserPurge1: 130    14681    5.74%
      0     0      305.2366   109      288.6830 UserPurge1: 128    14690    5.73%
