-- Parsed 48h/mouse_MA_scores_0.01_corrected_ensp_induced.tsv: |V| = 6909 (129 positive), |E| = 54366, # components = 468
-- Parsed 48h/human_MA_scores_0.01_corrected_ensp_induced.tsv: |V| = 8453 (149 positive), |E| = 81696, # components = 335
-- Parsed data/ensembl_cog_ALL.tsv: |V_1| = 4539, |V_2| = 4499, |E| = 4563
-- Solver configuration:
-- alpha           = 0.93
-- omega           = 0 (Sum mapped nodes)
-- size            = -1
-- time limit      = 12000
-- root time limit = 2000
-- # threads       = 1
-- # components in link graph: 4481
-- Solution:
-- Alpha       = 0.931034
-- Total Score = 131.65 (28.8419, 102.808)
#0 graph nodes:
ENSMUSP00000029273	30.1976
ENSMUSP00000027061	27.8769
ENSMUSP00000110999	17.0344	*
ENSMUSP00000020974	15.1355	*
ENSMUSP00000040694	14.0148	*
ENSMUSP00000086795	13.135	*
ENSMUSP00000105970	8.48867
ENSMUSP00000027351	8.21795	*
ENSMUSP00000034766	6.24475	*
ENSMUSP00000000834	6.09578	*
ENSMUSP00000019633	5.67774	*
ENSMUSP00000110777	3.85999	*
ENSMUSP00000022019	3.73443	*
ENSMUSP00000021530	3.42438	*
ENSMUSP00000113370	3.35852	*
ENSMUSP00000114074	2.93827	*
ENSMUSP00000046340	2.6491	*
ENSMUSP00000049007	2.56149	*
ENSMUSP00000058037	1.88734	*
ENSMUSP00000045925	1.80671	*
ENSMUSP00000112413	1.47103	*
ENSMUSP00000073378	1.36731	*
ENSMUSP00000023119	1.21588	*
ENSMUSP00000113851	1.12436	*
ENSMUSP00000029795	1.06963	*
ENSMUSP00000099514	0.731565	*
ENSMUSP00000027164	0.62022	*
ENSMUSP00000063800	0.613181	*
ENSMUSP00000100041	-0.190732	*
ENSMUSP00000038833	-0.980826	*
ENSMUSP00000022274	-2.76863	*
ENSMUSP00000029699	-4.24753	*
ENSMUSP00000120465	-4.44933	*
ENSMUSP00000004990	-4.5068	*
ENSMUSP00000027943	-4.59553	*
ENSMUSP00000057527	-4.64023	*
ENSMUSP00000033699	-4.71321	*
ENSMUSP00000001204	-4.86139
ENSMUSP00000052444	-4.91911	*
ENSMUSP00000054270	-4.96107	*
ENSMUSP00000001327	-5.00625	*
ENSMUSP00000023673	-5.30682	*
ENSMUSP00000004330	-5.56572	*
ENSMUSP00000015950	-5.88853	*
ENSMUSP00000042681	-6.03952	*
ENSMUSP00000106735	-6.08774	*
ENSMUSP00000044903	-6.12687	*
ENSMUSP00000103306	-6.13597	*
ENSMUSP00000099658	-6.22022	*
ENSMUSP00000032813	-6.23856	*
ENSMUSP00000091495	-6.24482	*
ENSMUSP00000037909	-6.4151	*
ENSMUSP00000051433	-6.57731	*
ENSMUSP00000003345	-6.704	*
ENSMUSP00000033093	-6.75296	*
ENSMUSP00000051331	-6.79081	*
ENSMUSP00000028288	-6.86004	*
ENSMUSP00000107655	-6.91492	*
#1 graph nodes:
ENSP00000339393	27.8769
ENSP00000274520	23.0501	*
ENSP00000352608	21.5704	*
ENSP00000379213	20.2095	*
ENSP00000393154	18.2905	*
ENSP00000245903	17.3614	*
ENSP00000386741	17.0344	*
ENSP00000327025	14.6522	*
ENSP00000321345	12.6902
ENSP00000357283	10.0117	*
ENSP00000271234	9.14393
ENSP00000229022	8.36515	*
ENSP00000302625	6.54097	*
ENSP00000260356	6.09578	*
ENSP00000267082	5.66633	*
ENSP00000348602	5.35876	*
ENSP00000354207	4.56518	*
ENSP00000356832	4.24678	*
ENSP00000360266	3.84223	*
ENSP00000368632	3.42438	*
ENSP00000320084	2.15374	*
ENSP00000365735	1.98654	*
ENSP00000268171	1.5155	*
ENSP00000345206	1.31726	*
ENSP00000351671	1.27375	*
ENSP00000332973	0.897407
ENSP00000243440	0.354758	*
ENSP00000300305	0.19847	*
ENSP00000362795	-0.53148	*
ENSP00000277541	-0.571609	*
ENSP00000261523	-0.933686	*
ENSP00000229135	-1.67395	*
ENSP00000382423	-2.46729	*
ENSP00000220751	-2.78469	*
ENSP00000227507	-3.06861	*
ENSP00000303939	-4.09847	*
ENSP00000215909	-4.28583	*
ENSP00000358866	-4.37899	*
ENSP00000293288	-4.89423	*
ENSP00000355747	-5.11651	*
ENSP00000348099	-5.11718	*
ENSP00000371341	-5.27833	*
ENSP00000259119	-5.5336	*
ENSP00000007722	-5.81291	*
ENSP00000218388	-6.04732	*
ENSP00000304669	-6.08668	*
ENSP00000281243	-6.16332	*
ENSP00000229794	-6.19516	*
ENSP00000362592	-6.26006	*
ENSP00000326630	-6.30066	*
ENSP00000281708	-6.38822	*
ENSP00000338018	-6.48084	*
ENSP00000053867	-6.5722	*
ENSP00000356694	-6.63341	*
ENSP00000234091	-6.64657	*
ENSP00000164227	-6.7623	*
ENSP00000358622	-6.88636	*
ENSP00000318486	-6.91587	*
