Warning: Control callbacks may disable some MIP features.
Lazy constraint(s) or lazy constraint callback is present.
    Disabling dual reductions (CPX_PARAM_REDUCE) in presolve.
Clique table members: 78509.
MIP emphasis: balance optimality and feasibility.
MIP search method: traditional branch-and-cut.
Parallel mode: none, using 1 thread.
Root relaxation solution time = 9.87 sec. (3800.98 ticks)

        Nodes                                         Cuts/
   Node  Left     Objective  IInf  Best Integer    Best Bound    ItCnt     Gap         Variable B NodeID Parent  Depth

      0     0      145.9535    16                    145.9535    15797         
*     0+    0                           11.2399      145.9535    15797     --- 
      0     0      145.6745    16       11.2399      Cuts: 39    15804     --- 
      0     0      145.4464     1       11.2399  ZeroHalf: 32    15806     --- 
      0     0      116.5007   624       11.2399 UserPurge1: 67    16826  936.49%
      0     0      115.3961   559       11.2399  ZeroHalf: 21    17126  926.66%
      0     0      113.5839   557       11.2399  ZeroHalf: 55    17324  910.54%
      0     0      112.6975   715       11.2399  ZeroHalf: 11    17526  902.65%
      0     0      112.0736   691       11.2399  ZeroHalf: 27    17747  897.10%
      0     0      111.8853   701       11.2399   ZeroHalf: 1    17796  895.43%
      0     0      111.7318   585       11.2399   ZeroHalf: 5    17830  894.06%
      0     0      111.6967   577       11.2399   ZeroHalf: 1    17856  893.75%
      0     0      108.6944   716       11.2399 UserPurge1: 63    18059  867.04%
      0     0      108.2177   712       11.2399  ZeroHalf: 10    18144  862.80%
      0     0      107.8772   692       11.2399   ZeroHalf: 6    18269  859.77%
      0     0      107.5225   737       11.2399   ZeroHalf: 5    18440  856.61%
      0     0      107.0969   717       11.2399   ZeroHalf: 2    18641  852.82%
      0     0      106.8623   692       11.2399   ZeroHalf: 4    18784  850.74%
      0     0      106.8378   705       11.2399   ZeroHalf: 2    18829  850.52%
      0     0      106.7742   720       11.2399   ZeroHalf: 1    18915  849.95%
      0     0      106.7055   697       11.2399   ZeroHalf: 2    18994  849.34%
      0     0      106.6147   685       11.2399       Cuts: 4    19045  848.53%
      0     0      103.7803   693       11.2399 UserPurge1: 12    19249  823.32%
      0     0      103.7796   729       11.2399 UserPurge1: 11    19266  823.31%
      0     0      103.7699   715       11.2399       Cuts: 2    19298  823.22%
      0     0      103.7692   727       11.2399 UserPurge1: 11    19305  823.22%
      0     0      103.7652   727       11.2399 UserPurge1: 11    19333  823.18%
      0     0      103.7649   734       11.2399 UserPurge1: 11    19338  823.18%
      0     0      103.7632   733       11.2399 UserPurge1: 11    19351  823.16%
      0     0      103.7625   746       11.2399 UserPurge1: 11    19356  823.16%
      0     0      103.7621   750       11.2399 UserPurge1: 11    19365  823.15%
      0     0      103.7614   733       11.2399 UserPurge1: 11    19379  823.15%
      0     0      103.7603   720       11.2399 UserPurge1: 11    19396  823.14%
      0     0      103.7601   738       11.2399 UserPurge1: 11    19403  823.14%
      0     0      103.7596   732       11.2399 UserPurge1: 11    19418  823.13%
      0     0      103.7595   751       11.2399 UserPurge1: 11    19430  823.13%
      0     0      103.7590   739       11.2399 UserPurge1: 11    19442  823.13%
      0     0      103.7587   744       11.2399 UserPurge1: 11    19446  823.12%
      0     0      103.7585   769       11.2399 UserPurge1: 11    19457  823.12%
      0     0      103.7578   769       11.2399 UserPurge1: 11    19473  823.12%
      0     0      103.7566   741       11.2399 UserPurge1: 11    19500  823.11%
      0     0      103.7560   762       11.2399 UserPurge1: 11    19510  823.10%
      0     0      103.7553   757       11.2399 UserPurge1: 11    19524  823.09%
      0     0      103.7550   763       11.2399 UserPurge1: 11    19530  823.09%
      0     0      103.7547   786       11.2399 UserPurge1: 11    19536  823.09%
      0     0      103.7538   758       11.2399 UserPurge1: 11    19555  823.08%
      0     0      103.7531   762       11.2399 UserPurge1: 11    19565  823.07%
      0     0      103.7529   768       11.2399 UserPurge1: 11    19577  823.07%
      0     0      103.7526   770       11.2399 UserPurge1: 11    19586  823.07%
      0     0      103.7525   782       11.2399 UserPurge1: 11    19590  823.07%
      0     0      103.7524   786       11.2399 UserPurge1: 11    19599  823.07%
      0     0      103.7521   790       11.2399 UserPurge1: 11    19617  823.07%
      0     0      103.7517   787       11.2399 UserPurge1: 11    19631  823.06%
      0     0      103.7514   799       11.2399 UserPurge1: 11    19649  823.06%
      0     0      103.7508   759       11.2399 UserPurge1: 11    19667  823.05%
