gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	score_corrected	pos_score	pos_score_corr	pass_thr
ENSMUSG00000000001	0.53584266973492	8.44015540602584	-6.37435976722458	0.0143688569635723	0.0958668318249664	Gnai3	-1.30244995037256	mus	-5.60871549506415	FALSE	FALSE	FALSE
ENSMUSG00000000028	-0.164274404674007	6.96033634863855	-6.75715266467117	0.451619116161982	0.742046766008413	Cdc45	-3.84865868620116	mus	-6.8359937333446	FALSE	FALSE	FALSE
ENSMUSG00000000031	0.261282999854454	3.9436975081477	-6.71370998257547	0.420770931662341	0.717387790114148	H19	-3.79640884547107	mus	-6.8032626202269	FALSE	FALSE	FALSE
ENSMUSG00000000056	-0.813952493023069	5.57264082970489	-3.56733586724361	0.000309356426185147	0.00550739834425636	Narf	1.53218168991802	mus	-4.36487068314676	TRUE	FALSE	FALSE
ENSMUSG00000000058	-0.190710460825619	4.50260747105537	-6.7916595199121	0.0102150788108212	0.0761705343997243	Cav2	-1.05047248383969	mus	-5.47875381847319	FALSE	FALSE	FALSE
ENSMUSG00000000078	1.0673826780655	8.72101544147482	-1.29871373330299	0.000112750471427968	0.00240603089333789	Klf6	2.277569903216	mus	-4.08600608556189	TRUE	FALSE	TRUE
ENSMUSG00000000085	0.307778439502579	5.73959900213871	-4.8947342620755	0.0437208136873102	0.201018096300884	Scmh1	-2.12423247928974	mus	-5.97241271817506	FALSE	FALSE	FALSE
ENSMUSG00000000088	0.369046473253074	11.990669814202	-6.90821584816417	0.000687874715166729	0.0104742518267375	Cox5a	0.942030953419872	mus	-4.60173305663032	TRUE	FALSE	FALSE
ENSMUSG00000000093	-0.24133856054662	3.13621384913737	-6.30911057229227	0.235373168029543	0.542385965417944	Tbx2	-3.36739769466166	mus	-6.56535569195733	FALSE	FALSE	FALSE
ENSMUSG00000000103	-0.179131986384605	3.04816021632174	-6.54480760379635	0.32584036954086	0.635765222706226	Zfy2	-3.60758650009705	mus	-6.70065686908577	FALSE	FALSE	FALSE
ENSMUSG00000000120	-0.0845720563552422	4.05153778000747	-7.05785853890895	0.273968425994787	0.584175239182307	Ngfr	-3.47953317568521	mus	-6.6317755956021	FALSE	FALSE	FALSE
ENSMUSG00000000125	-0.306020221822423	2.99819914698655	-5.23730149800035	0.0643001810710288	0.255636132532981	Wnt3	-2.40910304605517	mus	-6.09769154521741	FALSE	FALSE	FALSE
ENSMUSG00000000126	0.142361590592398	3.31735431246199	-6.7983774543517	0.484294508094024	0.762824700394443	Wnt9a	-3.90024643071802	mus	-6.86906583973684	FALSE	FALSE	FALSE
ENSMUSG00000000127	0.032249548281061	3.54008711918926	-7.00297641575026	0.509773909154133	0.780305623590792	Fert2	-3.93811274443044	mus	-6.88799773078472	FALSE	FALSE	FALSE
ENSMUSG00000000131	-0.485288885367537	9.92960421755161	-1.71576435313326	0.00151424933224421	0.0188254632791379	Xpo6	0.35929796640747	mus	-4.89712164261535	TRUE	FALSE	FALSE
ENSMUSG00000000142	-0.0093294128026789	4.89345579828407	-6.78673468470366	0.405776530712336	0.706025691565025	Axin2	-3.76961136719759	mus	-6.79081311345715	FALSE	FALSE	FALSE
ENSMUSG00000000148	0.0970675380267485	6.10128841333526	-6.69071183122267	0.0458203977429065	0.206823219693065	AA881470	-2.15887223895524	mus	-5.99222653076499	FALSE	FALSE	FALSE
ENSMUSG00000000149	-0.0525669475621119	5.84810973128168	-7.02175156742491	0.314980276622335	0.624178537450196	Gna12	-3.58255288419552	mus	-6.69081774364686	FALSE	FALSE	FALSE
ENSMUSG00000000157	0.221774096446092	4.7690376247037	-6.35705980413796	0.250948404206423	0.559861303817092	Itgb2l	-3.41471768145379	mus	-6.59266890681126	FALSE	FALSE	FALSE
ENSMUSG00000000159	-0.0763307197364306	3.74988088464903	-6.78190797562142	0.198544986897833	0.4948510041847	Igsf5	-3.2417358322867	mus	-6.50469811255055	FALSE	FALSE	FALSE
ENSMUSG00000000168	-0.14293177878028	8.10302458090493	-6.97859657640111	0.0607565588279192	0.247050004312287	Dlat	-2.36723896623348	mus	-6.07919152470325	FALSE	FALSE	FALSE
ENSMUSG00000000171	-0.206266380774381	8.47824841621463	-7.05823886465589	0.000992796551481955	0.0138623067822038	Sdhd	0.671058459691907	mus	-4.74243524071116	TRUE	FALSE	FALSE
ENSMUSG00000000184	-0.163083544562366	11.1071947491022	-7.04220744704675	0.00669083950158409	0.0560759300941607	Ccnd2	-0.737991025022007	mus	-5.38199495285728	FALSE	FALSE	FALSE
ENSMUSG00000000204	-0.248576592742929	4.18920926444231	-6.95922523738166	0.0107258858404993	0.0785019696336022	Slfn4	-1.08650804553918	mus	-5.4966964664367	FALSE	FALSE	FALSE
ENSMUSG00000000216	0.181511311313042	4.01732141258301	-6.3680651109704	0.254699259597235	0.564153486605773	Scnn1g	-3.42567426710441	mus	-6.59937759769228	FALSE	FALSE	FALSE
ENSMUSG00000000244	-0.226436800459997	7.53830208600266	-6.13683312225485	0.188184768595623	0.481692860400819	Tspan32	-3.20215816442222	mus	-6.48311408999796	FALSE	FALSE	FALSE
ENSMUSG00000000247	-0.617115943200204	3.8587678502696	-3.07126200280529	0.00616185791434687	0.0529839035566976	Lhx2	-0.677166793797727	mus	-5.35236407291112	FALSE	FALSE	FALSE
ENSMUSG00000000263	-0.0898171653916772	3.10374176077441	-6.70439552003939	0.414571619619586	0.71277527576519	Glra1	-3.7854472991791	mus	-6.79767622775569	FALSE	FALSE	FALSE
ENSMUSG00000000266	-0.0414188607897758	3.49202707706583	-6.89715032485609	0.268310771646313	0.578497749566616	Mid2	-3.46412276613347	mus	-6.62168651934714	FALSE	FALSE	FALSE
ENSMUSG00000000275	-0.400897644180786	8.51096565860826	-6.97743895902854	0.000459637758215857	0.00760557418992637	Trim25	1.23977359764643	mus	-4.47542025623435	TRUE	FALSE	FALSE
ENSMUSG00000000276	-0.234508116784613	5.67849385719569	-6.76797436892179	0.118995302035761	0.372767917670732	Dgke	-2.86367039206076	mus	-6.30566961411564	FALSE	FALSE	FALSE
ENSMUSG00000000278	0.515902331901309	7.17709734796272	-6.99252684962103	0.00602897881382458	0.0520973239229171	Scpep1	-0.661066814361839	mus	-5.34600895975324	FALSE	FALSE	FALSE
ENSMUSG00000000282	0.190504526434976	6.24345690739554	-6.43142997737683	0.13099638598407	0.395039797916632	Mnt	-2.93463042611005	mus	-6.33827241873297	FALSE	FALSE	FALSE
ENSMUSG00000000295	-0.403287872353349	8.57945344181297	-2.55825356539803	0.00361008708301939	0.0358075619127261	Hddc2	-0.28232633712071	mus	-5.16039127145761	FALSE	FALSE	FALSE
ENSMUSG00000000303	-0.193503796110759	3.03572285265429	-6.64957429752903	0.380650245878728	0.685035215388599	Cdh1	-3.72240476045976	mus	-6.7644248000006	FALSE	FALSE	FALSE
ENSMUSG00000000305	0.0858980038621852	3.74723201914827	-6.96114293914126	0.17613874909233	0.464818581555956	Cdh4	-3.15330421837489	mus	-6.45822328491136	FALSE	FALSE	FALSE
ENSMUSG00000000308	-0.259519741163337	3.89897035710577	-6.18336703362539	0.148333067044677	0.424866695103551	Ckmt1	-3.02641987616237	mus	-6.38727025386029	FALSE	FALSE	FALSE
ENSMUSG00000000317	-0.362406133718478	4.22319315944538	-5.32669032375226	0.0712181241000849	0.272393109262948	Bcl6b	-2.48456736300812	mus	-6.13127176553835	FALSE	FALSE	FALSE
ENSMUSG00000000320	-0.183433966715149	3.69413588366635	-6.50580184243483	0.308142688294092	0.618417086733619	Alox12	-3.56634480386219	mus	-6.67870697740006	FALSE	FALSE	FALSE
