alpha time_point specie tag fdr_thr src tgt score
0.5 4h hsa WARM 0.001 BATF CEBPZ 421
0.5 4h hsa WARM 0.001 BATF JUNB 868
0.5 4h hsa WARM 0.001 BATF NOTCH1 800
0.5 4h hsa WARM 0.001 APBB1IP PTPN1 900
0.5 4h hsa WARM 0.001 ELAVL1 CTLA4 214
0.5 4h hsa WARM 0.001 ELAVL1 NR3C1 214
0.5 4h hsa WARM 0.001 ELAVL1 LMNB1 214
0.5 4h hsa WARM 0.001 ELAVL1 STAT3 214
0.5 4h hsa WARM 0.001 ELAVL1 ARID5B 214
0.5 4h hsa WARM 0.001 ELAVL1 ETV6 214
0.5 4h hsa WARM 0.001 ELAVL1 BHLHE40 214
0.5 4h hsa WARM 0.001 ELAVL1 CMPK1 214
0.5 4h hsa WARM 0.001 ELAVL1 PFKFB3 214
0.5 4h hsa WARM 0.001 ELAVL1 PIM1 214
0.5 4h hsa WARM 0.001 ELAVL1 LPP 214
0.5 4h hsa WARM 0.001 ELAVL1 CCND1 214
0.5 4h hsa WARM 0.001 ELAVL1 SFXN3 214
0.5 4h hsa WARM 0.001 ELAVL1 IGF2BP3 214
0.5 4h hsa WARM 0.001 ELAVL1 FURIN 214
0.5 4h hsa WARM 0.001 ELAVL1 ZEB2 214
0.5 4h hsa WARM 0.001 IL23A TNF 800
0.5 4h hsa WARM 0.001 IL23A STAT3 800
0.5 4h hsa WARM 0.001 IL23A SOCS3 900
0.5 4h hsa WARM 0.001 JUNB BATF3 195
0.5 4h hsa WARM 0.001 JUNB BCL6 924
0.5 4h hsa WARM 0.001 LAG3 CEBPZ 621
0.5 4h hsa WARM 0.001 C5AR1 TNF 800
0.5 4h hsa WARM 0.001 C5AR1 CXCR5 900
0.5 4h hsa WARM 0.001 VIM LMNB1 620
0.5 4h hsa WARM 0.001 VIM STAT3 800
0.5 4h hsa WARM 0.001 FURIN NOTCH1 900
0.5 4h hsa WARM 0.001 STAT3 NR3C1 969
0.5 4h hsa WARM 0.001 STAT3 IL2RB 620
0.5 4h hsa WARM 0.001 STAT3 STAT1 999
0.5 4h hsa WARM 0.001 STAT3 BHLHE40 924
0.5 4h hsa WARM 0.001 STAT3 NOTCH1 800
0.5 4h hsa WARM 0.001 STAT3 CCND1 800
0.5 4h hsa WARM 0.001 STAT3 SOCS3 800
0.5 4h hsa WARM 0.001 STAT3 JAK3 818
0.5 4h hsa WARM 0.001 STAT3 BCL3 800
0.5 4h hsa WARM 0.001 STAT3 PTPN1 800
0.5 4h hsa WARM 0.001 STAT3 BCL6 800
0.5 4h hsa WARM 0.001 STAT3 FSCN1 800
0.5 4h hsa WARM 0.001 STAT1 IL2RB 620
0.5 4h hsa WARM 0.001 STAT1 SOCS3 800
0.5 4h hsa WARM 0.001 STAT1 CD274 800
0.5 4h hsa WARM 0.001 STAT1 JAK3 800
0.5 4h hsa WARM 0.001 STAT1 BCL3 621
0.5 4h hsa WARM 0.001 CMPK1 CMPK2 800
0.5 4h hsa WARM 0.001 NTRK1 PTPN1 620
0.5 4h hsa WARM 0.001 DOK2 JAK3 900
0.5 4h hsa WARM 0.001 DOK2 NCK2 193
0.5 4h hsa WARM 0.001 MAPK11 SOCS3 166
0.5 4h hsa WARM 0.001 JAK3 IL2RB 900
0.5 4h hsa WARM 0.001 JAK3 SOCS3 813
0.5 4h hsa WARM 0.001 NR3C1 PTMS 621
0.5 4h hsa WARM 0.001 NR3C1 POU2F2 937
0.5 4h hsa WARM 0.001 NR3C1 FSCN1 800
0.5 4h hsa WARM 0.001 PIM2 SOCS3 800
0.5 4h hsa WARM 0.001 COL18A1 CCND1 800
0.5 4h hsa WARM 0.001 COL18A1 COL1A2 900
0.5 4h hsa WARM 0.001 NCK2 DDR1 619
