gene_id	logFC	logCPM	LR	PValue	FDR	gene	score	specie	pos_score	pass_thr
ENSG00000111640	0.148779006000018	11.502266921216	-5.857084128276	0.400752695258137	0.870614375650839	GAPDH	-4.29500906737898	hsa	FALSE	FALSE
ENSG00000215790	-0.19179726499999	6.4782115575	-4.7254443126666	0.116081697329963	0.644824354300412	SLC35E2	-3.81037645879184	hsa	FALSE	FALSE
ENSG00000233927	-0.244108717333313	11.781846562287	-5.78893339750544	0.10611105134683	0.629920944796075	RPS28	-3.77524963575127	hsa	FALSE	FALSE
ENSG00000117408	-0.109253887333324	7.03026364031482	-5.71428652726679	0.522732934587722	0.915123646868028	IPO13	-4.39894316183911	hsa	FALSE	FALSE
ENSG00000167513	0.0441329893333435	7.84480012287037	-5.89800995154564	0.87078874838696	0.986971538958297	CDT1	-4.59854921459586	hsa	FALSE	FALSE
ENSG00000145012	0.163620489833344	7.77214907059259	-5.8963008054326	0.107326265150205	0.632200159213917	LPP	-3.77970353850439	hsa	FALSE	FALSE
ENSG00000169764	-0.163337853916657	7.49480764871759	-5.88469898133402	0.0369055042570651	0.454692899313962	FLJ36848	-3.3621648252894	hsa	FALSE	FALSE
ENSG00000197451	0.0382130238889046	11.1863742028642	-5.90877417019474	0.401568050287823	0.870614375650839	HNRNPAB	-4.29580404074329	hsa	FALSE	FALSE
ENSG00000163877	0.220853675000011	7.96787727416667	-5.00276162867819	0.16913161390746	0.718457773112775	SNIP1	-3.95759199846933	hsa	FALSE	FALSE
ENSG00000065618	0.193689895666676	6.17817372315741	-5.76191031208958	0.13079690069821	0.667841124373918	COL17A1	-3.85705869262028	hsa	FALSE	FALSE
ENSG00000161940	-0.260580628666659	6.10195972487037	-4.00138830342466	0.0459442753134352	0.494186234531506	BCL6B	-3.44784961434591	hsa	FALSE	FALSE
ENSG00000064961	-0.317389209666654	8.9337204275	-4.93639905645813	0.154315074964529	0.701370064238501	HMG20B	-3.92173269878145	hsa	FALSE	FALSE
ENSG00000110848	-0.270572257499985	9.78350306184259	-5.68175508944056	0.408519173464486	0.875249848939141	CD69	-4.30251659109521	hsa	FALSE	FALSE
