-- Parsed 72h/human_corrected_ensp_induced_0.000001.tsv: |V| = 9072 (147 positive), |E| = 85959, # components = 882
-- Parsed 72h/mouse_corrected_ensp_induced_0.000001.tsv: |V| = 7117 (112 positive), |E| = 63297, # components = 545
-- Parsed data/ensembl_cog_ALL.tsv: |V_1| = 5213, |V_2| = 5215, |E| = 5247
-- Solver configuration:
-- alpha      = 0.9
-- omega      = 0 (Sum mapped nodes)
-- size       = -1
-- time limit = 1500
-- # threads  = 1
-- # components in link graph: 5184
-- Solution:
-- Alpha       = 0.9
-- Total Score = 1067.88 (514.629, 553.254)
#0 graph nodes:
ENSP00000345344	107.254
ENSP00000319281	101.399	*
ENSP00000219070	99.5273
ENSP00000260356	91.5402
ENSP00000339393	88.346
ENSP00000274520	85.6781	*
ENSP00000365380	46.3073
ENSP00000357283	39.0485	*
ENSP00000287820	34.3055
ENSP00000328818	26.6806	*
ENSP00000304915	26.1827
ENSP00000337432	25.6997	*
ENSP00000223795	23.7368	*
ENSP00000297991	22.9853	*
ENSP00000345206	16.7556	*
ENSP00000240100	16.6282	*
ENSP00000284440	16.4766	*
ENSP00000296871	12.62	*
ENSP00000329384	12.4784	*
ENSP00000300305	11.9503	*
ENSP00000327025	9.04766	*
ENSP00000360266	3.40769
ENSP00000365016	3.3294	*
ENSP00000261523	2.91399	*
ENSP00000351908	2.8442	*
ENSP00000384675	2.41325	*
ENSP00000257497	2.17376
ENSP00000335062	1.91287	*
ENSP00000277541	1.17458	*
ENSP00000216223	1.08599	*
ENSP00000262158	0.830715
ENSP00000327850	0.592837
ENSP00000368880	0.228254	*
ENSP00000321345	0.0030831	*
ENSP00000368632	-1.60912	*
ENSP00000268171	-1.84723	*
ENSP00000362401	-3.78787	*
ENSP00000294984	-4.94496	*
ENSP00000348273	-5.43968	*
ENSP00000242057	-6.79852	*
ENSP00000303939	-7.8359	*
ENSP00000327048	-10.4297	*
ENSP00000263932	-10.4823	*
ENSP00000320936	-10.5807	*
ENSP00000331504	-11.3017	*
ENSP00000260630	-11.6475	*
ENSP00000337127	-11.825	*
ENSP00000321326	-12.1136	*
ENSP00000328169	-12.5002	*
ENSP00000262345	-13.0719	*
ENSP00000267549	-13.3561	*
ENSP00000306157	-13.5903	*
ENSP00000412237	-14.4644	*
ENSP00000326630	-14.6592	*
ENSP00000290200	-14.6795	*
ENSP00000314425	-14.7243	*
ENSP00000307445	-14.916	*
ENSP00000338018	-15.0722	*
ENSP00000222823	-15.2949	*
ENSP00000313420	-15.372	*
ENSP00000264497	-15.403	*
ENSP00000276682	-15.4793	*
ENSP00000357879	-15.4992	*
ENSP00000263025	-15.5264	*
ENSP00000325875	-15.6609	*
ENSP00000302111	-15.6655	*
ENSP00000321365	-15.6882	*
ENSP00000367440	-15.7645	*
ENSP00000177694	-15.8986	*
#1 graph nodes:
ENSMUSP00000046960	107.254	*
ENSMUSP00000027061	101.399
ENSMUSP00000051368	91.5402	*
ENSMUSP00000113064	79.6901	*
ENSMUSP00000030339	62.228	*
ENSMUSP00000109108	57.2389	*
ENSMUSP00000110999	53.0615
ENSMUSP00000029273	46.3073	*
ENSMUSP00000067704	42.6702	*
ENSMUSP00000022019	39.0485	*
ENSMUSP00000100041	34.7865	*
ENSMUSP00000113342	32.1987	*
ENSMUSP00000010605	27.595	*
ENSMUSP00000094449	26.6806	*
ENSMUSP00000016673	20.9691	*
ENSMUSP00000113370	19.3556	*
ENSMUSP00000029699	17.6698	*
ENSMUSP00000079733	16.4766	*
ENSMUSP00000024894	12.5572	*
ENSMUSP00000040694	11.678	*
ENSMUSP00000110286	11.228	*
ENSMUSP00000055747	10.7541	*
ENSMUSP00000112137	10.5747	*
ENSMUSP00000074581	8.55636	*
ENSMUSP00000058037	4.95951	*
ENSMUSP00000003981	3.47829	*
ENSMUSP00000075224	0.835283	*
ENSMUSP00000021530	0.19012	*
ENSMUSP00000027164	-0.232306	*
ENSMUSP00000031131	-0.285432	*
ENSMUSP00000034766	-0.537482	*
ENSMUSP00000053943	-2.27526	*
ENSMUSP00000046185	-5.41642	*
ENSMUSP00000055110	-9.13133	*
ENSMUSP00000029795	-11.2399	*
ENSMUSP00000023352	-11.551	*
ENSMUSP00000021729	-11.9192	*
ENSMUSP00000007012	-12.2689	*
ENSMUSP00000038514	-12.303	*
ENSMUSP00000023691	-12.4798	*
ENSMUSP00000033930	-12.9893	*
ENSMUSP00000086820	-13.1164	*
ENSMUSP00000024739	-13.4095	*
ENSMUSP00000019060	-13.6237	*
ENSMUSP00000001484	-13.6678	*
ENSMUSP00000000808	-13.8945	*
ENSMUSP00000061754	-14.0879	*
ENSMUSP00000030047	-14.1691	*
ENSMUSP00000071589	-14.3357	*
ENSMUSP00000027507	-14.4323	*
ENSMUSP00000035660	-14.7917	*
ENSMUSP00000022925	-15.1807	*
ENSMUSP00000080224	-15.3582	*
ENSMUSP00000093485	-15.4559	*
ENSMUSP00000055308	-15.5444	*
ENSMUSP00000002976	-15.5729	*
ENSMUSP00000105383	-15.6522	*
ENSMUSP00000023673	-15.6689	*
ENSMUSP00000067786	-15.6798	*
ENSMUSP00000028288	-15.7267	*
ENSMUSP00000051619	-15.7295	*
