-- Parsed 72h/mouse_MA_scores_0.01_corrected_ensp_induced.tsv: |V| = 6918 (205 positive), |E| = 55054, # components = 419
-- Parsed 72h/human_MA_scores_0.01_corrected_ensp_induced.tsv: |V| = 8453 (245 positive), |E| = 81696, # components = 335
-- Parsed data/ensembl_cog_ALL.tsv: |V_1| = 4508, |V_2| = 4474, |E| = 4534
-- Solver configuration:
-- alpha           = 0.9
-- omega           = 0 (Sum mapped nodes)
-- size            = -1
-- time limit      = 12000
-- root time limit = 2000
-- # threads       = 1
-- # components in link graph: 4453
-- Solution:
-- Alpha       = 0.9
-- Total Score = 265.16 (119.88, 145.28)
#0 graph nodes:
ENSMUSP00000029273	29.4993
ENSMUSP00000027061	22.0492
ENSMUSP00000099881	21.5678
ENSMUSP00000113064	19.5621	*
ENSMUSP00000109108	18.7656	*
ENSMUSP00000099411	18.6093
ENSMUSP00000041874	12.6436
ENSMUSP00000110999	11.2633	*
ENSMUSP00000003870	11.2082	*
ENSMUSP00000029078	10.6515	*
ENSMUSP00000029626	10.1615	*
ENSMUSP00000020040	9.95389
ENSMUSP00000028239	9.1637	*
ENSMUSP00000055110	8.8638	*
ENSMUSP00000019633	8.62773	*
ENSMUSP00000039802	8.41649	*
ENSMUSP00000021530	7.90979	*
ENSMUSP00000053943	7.88288	*
ENSMUSP00000000264	7.64187	*
ENSMUSP00000009340	7.40497	*
ENSMUSP00000062409	7.39696	*
ENSMUSP00000047385	6.35033
ENSMUSP00000020974	6.10401	*
ENSMUSP00000023008	6.09931	*
ENSMUSP00000025601	6.02261
ENSMUSP00000076728	5.83705	*
ENSMUSP00000040694	5.48746	*
ENSMUSP00000084043	5.00499	*
ENSMUSP00000034756	4.68156	*
ENSMUSP00000040245	3.89919
ENSMUSP00000105970	3.81093
ENSMUSP00000000834	3.59999	*
ENSMUSP00000099928	3.54423	*
ENSMUSP00000058037	3.3786	*
ENSMUSP00000020271	2.98692	*
ENSMUSP00000023336	2.64183	*
ENSMUSP00000027015	2.5711	*
ENSMUSP00000022274	2.46433	*
ENSMUSP00000034766	2.16968	*
ENSMUSP00000053489	2.16533	*
ENSMUSP00000121233	2.08185
ENSMUSP00000039243	1.83129	*
ENSMUSP00000038833	1.70389	*
ENSMUSP00000063825	1.64522	*
ENSMUSP00000108106	1.62109	*
ENSMUSP00000022830	1.42081	*
ENSMUSP00000099514	1.39454	*
ENSMUSP00000095866	1.34778	*
ENSMUSP00000066693	1.3352	*
ENSMUSP00000030991	1.24953	*
ENSMUSP00000097404	1.22773
ENSMUSP00000051619	1.18209	*
ENSMUSP00000000544	1.12831	*
ENSMUSP00000022592	1.09598	*
ENSMUSP00000114074	0.941083	*
ENSMUSP00000015540	0.912206	*
ENSMUSP00000034469	0.609324	*
ENSMUSP00000046185	0.603733	*
ENSMUSP00000035900	0.59418
ENSMUSP00000059129	0.530968	*
ENSMUSP00000018963	0.479897	*
ENSMUSP00000029275	0.413001	*
ENSMUSP00000062392	0.243157	*
ENSMUSP00000028024	0.218582	*
ENSMUSP00000022019	0.210343	*
ENSMUSP00000079689	-0.0826026	*
ENSMUSP00000029846	-0.489411	*
ENSMUSP00000019060	-0.855607	*
ENSMUSP00000105449	-0.87784	*
ENSMUSP00000021784	-0.889555	*
ENSMUSP00000027164	-0.963811	*
ENSMUSP00000037909	-1.35937	*
ENSMUSP00000027165	-1.366	*
ENSMUSP00000033880	-1.37101	*
ENSMUSP00000029795	-1.48611	*
ENSMUSP00000024697	-1.62476	*
ENSMUSP00000040271	-1.6858	*
ENSMUSP00000027943	-2.14039	*
ENSMUSP00000038514	-2.15086	*
ENSMUSP00000027277	-2.17178	*
ENSMUSP00000029699	-2.24228	*
ENSMUSP00000023119	-2.33258	*
ENSMUSP00000055308	-2.35951	*
ENSMUSP00000090307	-2.50088	*
ENSMUSP00000023151	-2.6134	*
ENSMUSP00000025706	-2.64455	*
ENSMUSP00000021844	-2.68299	*
ENSMUSP00000106278	-2.76244	*
ENSMUSP00000105660	-2.99805	*
ENSMUSP00000031131	-3.13965	*
ENSMUSP00000026328	-3.36427	*
ENSMUSP00000026881	-3.37329	*
ENSMUSP00000055342	-3.54237	*
ENSMUSP00000021794	-3.58351	*
ENSMUSP00000100041	-3.74217	*
ENSMUSP00000028102	-3.81388	*
ENSMUSP00000044903	-3.83427	*
ENSMUSP00000025486	-3.93525	*
ENSMUSP00000113388	-3.9409	*
ENSMUSP00000037385	-3.97899	*
ENSMUSP00000052872	-4.04432	*
ENSMUSP00000110012	-4.1594	*
ENSMUSP00000038483	-4.18948	*
ENSMUSP00000120152	-4.2454	*
ENSMUSP00000119370	-4.27786	*
ENSMUSP00000029147	-4.28855	*
ENSMUSP00000027050	-4.33412	*
ENSMUSP00000013949	-4.39236	*
ENSMUSP00000025930	-4.44604	*
ENSMUSP00000077929	-4.4815	*
ENSMUSP00000006037	-4.51537	*
ENSMUSP00000003274	-4.54063	*
ENSMUSP00000022051	-4.55546	*
ENSMUSP00000041774	-4.70016	*
ENSMUSP00000119827	-4.77478	*
ENSMUSP00000029806	-4.787	*
ENSMUSP00000120465	-4.80176	*
ENSMUSP00000029936	-4.80297	*
ENSMUSP00000067046	-4.84786	*
ENSMUSP00000023673	-4.91248	*
ENSMUSP00000020649	-4.91514	*
ENSMUSP00000065096	-4.92308	*
ENSMUSP00000000266	-4.93023	*
ENSMUSP00000064205	-4.97754	*
ENSMUSP00000067786	-5.01008	*
ENSMUSP00000104931	-5.05399	*
ENSMUSP00000051433	-5.06829	*
ENSMUSP00000032066	-5.08099	*
ENSMUSP00000031540	-5.09334	*
ENSMUSP00000107655	-5.10744	*
ENSMUSP00000084701	-5.11551	*
ENSMUSP00000029766	-5.12023	*
ENSMUSP00000000450	-5.12985	*
ENSMUSP00000119120	-5.21766	*
ENSMUSP00000041963	-5.22069	*
ENSMUSP00000076383	-5.24348	*
#1 graph nodes:
ENSP00000339393	29.4993
ENSP00000345179	22.0492	*
ENSP00000274520	21.5678	*
ENSP00000386741	19.5621	*
ENSP00000245903	18.7656	*
ENSP00000296849	15.7684	*
ENSP00000284440	15.4107	*
ENSP00000393379	12.8792	*
ENSP00000260502	12.6436	*
ENSP00000341189	12.304	*
ENSP00000221847	11.9836	*
ENSP00000321345	11.2082
ENSP00000379213	10.9838	*
ENSP00000369100	10.5055
ENSP00000327025	10.3565	*
ENSP00000360266	10.253
ENSP00000384675	8.75309	*
ENSP00000367013	8.62773	*
ENSP00000361366	8.21859	*
ENSP00000296871	6.8396	*
ENSP00000243440	6.46713	*
ENSP00000343412	6.10401	*
ENSP00000329384	5.99291
ENSP00000391457	5.3942	*
ENSP00000271234	5.39304
ENSP00000332225	5.05756
ENSP00000241261	4.86641	*
ENSP00000332973	4.70285
ENSP00000357283	4.68156	*
ENSP00000354207	4.34653	*
ENSP00000348273	4.13176	*
ENSP00000368646	4.04866	*
ENSP00000368632	3.81093	*
ENSP00000410689	3.59806
ENSP00000365016	3.04544	*
ENSP00000287820	2.99428	*
ENSP00000229022	2.98692	*
ENSP00000319281	2.98251	*
ENSP00000245457	2.64183	*
ENSP00000232014	2.2342	*
ENSP00000362401	2.0263	*
ENSP00000363205	2.02609	*
ENSP00000300659	2.01566	*
ENSP00000308928	2.00075
ENSP00000297107	1.98484	*
ENSP00000283228	1.97782
ENSP00000356832	1.97188	*
ENSP00000263464	1.62109	*
ENSP00000248089	1.61418	*
ENSP00000257570	1.44193	*
ENSP00000413625	1.16438
ENSP00000260356	1.12831	*
ENSP00000345206	1.09433	*
ENSP00000300305	1.06631	*
ENSP00000359497	1.02857	*
ENSP00000351255	0.829359	*
ENSP00000348099	0.692663	*
ENSP00000368880	0.603733	*
ENSP00000264122	0.402797
ENSP00000318445	0.398746	*
ENSP00000350719	0.307652	*
ENSP00000309555	0.252708	*
ENSP00000231449	0.210343
ENSP00000338983	0.0915216	*
ENSP00000265335	0.0590118	*
ENSP00000340691	0.0243312	*
ENSP00000261523	-0.030335	*
ENSP00000283285	-0.668638	*
ENSP00000363708	-0.669033	*
ENSP00000365280	-0.800912	*
ENSP00000278616	-0.839507	*
ENSP00000324890	-0.963811	*
ENSP00000350297	-1.02358	*
ENSP00000294984	-1.07006	*
ENSP00000398736	-1.10412	*
ENSP00000303939	-1.3519	*
ENSP00000377141	-1.66229	*
ENSP00000330393	-1.92582	*
ENSP00000377527	-1.94895	*
ENSP00000242465	-2.0339	*
ENSP00000304592	-2.07406	*
ENSP00000284384	-2.14742	*
ENSP00000285379	-2.44806	*
ENSP00000410076	-2.47884	*
ENSP00000382423	-2.62144	*
ENSP00000338799	-2.75807	*
ENSP00000355601	-3.00629	*
ENSP00000265164	-3.04437	*
ENSP00000269216	-3.14882	*
ENSP00000321203	-3.38224	*
ENSP00000354720	-3.41864	*
ENSP00000357113	-3.42863	*
ENSP00000313391	-3.50614	*
ENSP00000284818	-3.53898	*
ENSP00000396538	-3.61514	*
ENSP00000296414	-3.82134	*
ENSP00000239849	-3.91999	*
ENSP00000295400	-3.93332	*
ENSP00000356694	-4.08031	*
ENSP00000287239	-4.09289	*
ENSP00000263025	-4.10519	*
ENSP00000368759	-4.27186	*
ENSP00000264657	-4.36102	*
ENSP00000331152	-4.43789	*
ENSP00000234091	-4.48858	*
ENSP00000330341	-4.60308	*
ENSP00000338018	-4.64248	*
ENSP00000368450	-4.69295	*
ENSP00000216274	-4.75927	*
ENSP00000386884	-4.81276	*
ENSP00000399968	-4.81368	*
ENSP00000261366	-4.8343	*
ENSP00000368547	-4.89658	*
ENSP00000378517	-4.90573	*
ENSP00000259808	-4.92577	*
ENSP00000370343	-4.92663	*
ENSP00000226730	-4.93211	*
ENSP00000346032	-4.94962	*
ENSP00000371475	-4.97559	*
ENSP00000350512	-4.99067	*
ENSP00000295025	-4.9924	*
ENSP00000281834	-5.00814	*
ENSP00000368831	-5.01981	*
ENSP00000218388	-5.02172	*
ENSP00000223095	-5.02326	*
ENSP00000357038	-5.02635	*
ENSP00000220751	-5.03925	*
ENSP00000257963	-5.10069	*
ENSP00000297991	-5.15459	*
ENSP00000326630	-5.21767	*
ENSP00000318486	-5.22392	*
ENSP00000312652	-5.22702	*
ENSP00000362924	-5.22784	*
ENSP00000308383	-5.24923	*
