ENSMUSP00000000001	ENSMUSG00000000001
ENSMUSP00000000003	ENSMUSG00000000003
ENSMUSP00000000010	ENSMUSG00000020875
ENSMUSP00000000028	ENSMUSG00000000028
ENSMUSP00000000033	ENSMUSG00000048583
ENSMUSP00000000049	ENSMUSG00000000049
ENSMUSP00000000058	ENSMUSG00000000058
ENSMUSP00000000080	ENSMUSG00000000078
ENSMUSP00000000087	ENSMUSG00000000085
ENSMUSP00000000090	ENSMUSG00000000088
ENSMUSP00000000094	ENSMUSG00000061689
ENSMUSP00000000095	ENSMUSG00000000093
ENSMUSP00000000096	ENSMUSG00000000094
ENSMUSP00000000102	ENSMUSG00000004902
ENSMUSP00000000109	ENSMUSG00000055022
ENSMUSP00000000122	ENSMUSG00000000120
ENSMUSP00000000127	ENSMUSG00000000125
ENSMUSP00000000128	ENSMUSG00000000126
ENSMUSP00000000129	ENSMUSG00000000127
ENSMUSP00000000137	ENSMUSG00000020152
ENSMUSP00000000145	ENSMUSG00000020333
ENSMUSP00000000153	ENSMUSG00000000149
ENSMUSP00000000161	ENSMUSG00000000157
ENSMUSP00000000163	ENSMUSG00000000159
ENSMUSP00000000171	ENSMUSG00000000167
ENSMUSP00000000175	ENSMUSG00000000171
ENSMUSP00000000186	ENSMUSG00000000182
ENSMUSP00000000187	ENSMUSG00000000183
ENSMUSP00000000188	ENSMUSG00000000184
ENSMUSP00000000193	ENSMUSG00000035385
ENSMUSP00000000194	ENSMUSG00000035352
ENSMUSP00000000199	ENSMUSG00000062661
ENSMUSP00000000201	ENSMUSG00000000197
ENSMUSP00000000206	ENSMUSG00000000202
ENSMUSP00000000208	ENSMUSG00000000204
ENSMUSP00000000219	ENSMUSG00000000214
ENSMUSP00000000220	ENSMUSG00000000215
ENSMUSP00000000221	ENSMUSG00000000216
ENSMUSP00000000253	ENSMUSG00000000247
ENSMUSP00000000254	ENSMUSG00000000248
ENSMUSP00000000260	ENSMUSG00000000253
ENSMUSP00000000264	ENSMUSG00000073489
ENSMUSP00000000266	ENSMUSG00000026535
ENSMUSP00000000275	ENSMUSG00000038257
ENSMUSP00000000284	ENSMUSG00000000275
ENSMUSP00000000285	ENSMUSG00000000276
ENSMUSP00000000287	ENSMUSG00000000278
ENSMUSP00000000291	ENSMUSG00000000282
ENSMUSP00000000299	ENSMUSG00000000290
ENSMUSP00000000304	ENSMUSG00000000295
ENSMUSP00000000305	ENSMUSG00000000296
ENSMUSP00000000310	ENSMUSG00000000301
ENSMUSP00000000312	ENSMUSG00000000303
ENSMUSP00000000314	ENSMUSG00000000305
ENSMUSP00000000317	ENSMUSG00000000308
ENSMUSP00000000326	ENSMUSG00000000317
ENSMUSP00000000327	ENSMUSG00000000318
ENSMUSP00000000329	ENSMUSG00000000320
ENSMUSP00000000335	ENSMUSG00000000326
ENSMUSP00000000342	ENSMUSG00000020676
ENSMUSP00000000348	ENSMUSG00000000339
ENSMUSP00000000349	ENSMUSG00000000340
ENSMUSP00000000356	ENSMUSG00000000346
ENSMUSP00000000365	ENSMUSG00000000355
ENSMUSP00000000369	ENSMUSG00000000359
ENSMUSP00000000384	ENSMUSG00000000374
ENSMUSP00000000388	ENSMUSG00000000378
ENSMUSP00000000391	ENSMUSG00000000381
ENSMUSP00000000394	ENSMUSG00000000384
ENSMUSP00000000395	ENSMUSG00000000385
ENSMUSP00000000402	ENSMUSG00000000392
ENSMUSP00000000412	ENSMUSG00000000402
ENSMUSP00000000421	ENSMUSG00000000411
ENSMUSP00000000430	ENSMUSG00000000420
ENSMUSP00000000445	ENSMUSG00000000435
ENSMUSP00000000449	ENSMUSG00000000439
ENSMUSP00000000450	ENSMUSG00000000440
ENSMUSP00000000451	ENSMUSG00000000441
ENSMUSP00000000466	ENSMUSG00000028494
ENSMUSP00000000476	ENSMUSG00000029231
ENSMUSP00000000500	ENSMUSG00000000489
ENSMUSP00000000505	ENSMUSG00000029730
ENSMUSP00000000514	ENSMUSG00000026315
ENSMUSP00000000542	ENSMUSG00000000530
ENSMUSP00000000543	ENSMUSG00000000531
ENSMUSP00000000544	ENSMUSG00000000532
ENSMUSP00000000572	ENSMUSG00000000560
ENSMUSP00000000573	ENSMUSG00000074340
ENSMUSP00000000574	ENSMUSG00000000562
ENSMUSP00000000579	ENSMUSG00000000567
ENSMUSP00000000590	ENSMUSG00000032050
ENSMUSP00000000594	ENSMUSG00000000581
ENSMUSP00000000608	ENSMUSG00000000594
ENSMUSP00000000619	ENSMUSG00000000605
ENSMUSP00000000631	ENSMUSG00000000617
ENSMUSP00000000632	ENSMUSG00000044807
ENSMUSP00000000641	ENSMUSG00000000627
ENSMUSP00000000642	ENSMUSG00000000628
